id,label,role,x,y,width,height
input,Contaminated / EEG,input,0.2200,1.0000,1.2000,0.7400
stem,Stem / $1\!\times\!1$ Conv / C,encoder,1.5650,1.0000,0.9400,0.7400
enc1,Encoder 1 / DSConv / C,encoder,2.6500,1.0000,1.0200,0.7400
down1,Down / C â†’ 2C,encoder,3.8150,1.0000,0.7200,0.7400
enc2,Encoder 2 / DSConv / 2C,encoder,4.6800,1.0000,1.0200,0.7400
down2,Down / 2C â†’ 4C,encoder,5.8450,1.0000,0.7800,0.7400
bneck,"Bottleneck / DSConv / d=4,8,16 / 4C",bottleneck,6.7700,1.0000,1.1200,0.7400
up1,UpConv / 4C â†’ 2C,up,8.0350,1.0000,0.7800,0.7400
cat1,Concat,concat,8.9600,1.0000,0.7000,0.7400
dec1,Decoder 1 / DSConv / 2C,decoder,9.8050,1.0000,1.0200,0.7400
up2,UpConv / 2C â†’ C,up,10.9700,1.0000,0.7800,0.7400
cat2,Concat,concat,11.8950,1.0000,0.7000,0.7400
dec2,Decoder 2 / DSConv / C,decoder,12.7400,1.0000,1.0200,0.7400
head,$1\!\times\!1$ / clean / head,head,13.9050,1.0000,0.8200,0.7400
output,Denoised / EEG,output,14.8700,1.0000,1.0800,0.7400
