check,status,detail
skip_enc2_to_cat1_starts_on_enc2_top_edge,pass,
skip_enc2_to_cat1_ends_on_cat1_top_edge,pass,
skip_enc2_to_cat1_uses_orthogonal_segments,pass,
skip_enc2_to_cat1_arrowhead_points_toward_cat1,pass,
skip_enc2_to_cat1_arrowhead_clear_of_cat1_text,pass,
skip_enc1_to_cat2_starts_on_enc1_top_edge,pass,
skip_enc1_to_cat2_ends_on_cat2_top_edge,pass,
skip_enc1_to_cat2_uses_orthogonal_segments,pass,
skip_enc1_to_cat2_arrowhead_points_toward_cat2,pass,
skip_enc1_to_cat2_arrowhead_clear_of_cat2_text,pass,
node_boxes_do_not_overlap,pass,
text_labels_fit_inside_boxes,pass,
skip_paths_do_not_intersect_text_labels,pass,
