panel,panel_title,row_type,condition,base,width_label,parameters,seed,subject,cc,mean_cc,sd_cc,ci95_low,ci95_high,source_file,aggregation
A,EEGDenoiseNet,seed_observation,EMG,2,b2,1048,42,,0.8093715310096741,,,,,runs/attention_width_sweep_20260520_212826_summary_index.csv,none; independent training seed
A,EEGDenoiseNet,seed_observation,EMG,2,b2,1048,43,,0.8277297616004944,,,,,runs/attention_width_sweep_20260520_212826_summary_index.csv,none; independent training seed
A,EEGDenoiseNet,seed_observation,EMG,2,b2,1048,44,,0.8233755230903625,,,,,runs/attention_width_sweep_20260520_212826_summary_index.csv,none; independent training seed
A,EEGDenoiseNet,seed_observation,EMG,2,b2,1048,45,,0.8242586851119995,,,,,runs/jne_revision_high_leverage_20260601_150050_width_saturation_extra_seeds_summary_index.csv,none; independent training seed
A,EEGDenoiseNet,seed_observation,EMG,2,b2,1048,46,,0.8257154822349548,,,,,runs/jne_revision_high_leverage_20260601_150050_width_saturation_extra_seeds_summary_index.csv,none; independent training seed
A,EEGDenoiseNet,seed_observation,EMG,4,b4,3218,42,,0.8369725942611694,,,,,runs/attention_width_sweep_20260520_212826_summary_index.csv,none; independent training seed
A,EEGDenoiseNet,seed_observation,EMG,4,b4,3218,43,,0.8383067846298218,,,,,runs/attention_width_sweep_20260520_212826_summary_index.csv,none; independent training seed
A,EEGDenoiseNet,seed_observation,EMG,4,b4,3218,44,,0.8367007374763489,,,,,runs/attention_width_sweep_20260520_212826_summary_index.csv,none; independent training seed
A,EEGDenoiseNet,seed_observation,EMG,4,b4,3218,45,,0.8376096487045288,,,,,runs/jne_revision_high_leverage_20260601_150050_width_saturation_extra_seeds_summary_index.csv,none; independent training seed
A,EEGDenoiseNet,seed_observation,EMG,4,b4,3218,46,,0.8375877141952515,,,,,runs/jne_revision_high_leverage_20260601_150050_width_saturation_extra_seeds_summary_index.csv,none; independent training seed
A,EEGDenoiseNet,seed_observation,EMG,6,b6,6532,42,,0.841278076171875,,,,,runs/attention_width_sweep_20260520_212826_summary_index.csv,none; independent training seed
A,EEGDenoiseNet,seed_observation,EMG,6,b6,6532,43,,0.8406468033790588,,,,,runs/attention_width_sweep_20260520_212826_summary_index.csv,none; independent training seed
A,EEGDenoiseNet,seed_observation,EMG,6,b6,6532,44,,0.8391097784042358,,,,,runs/attention_width_sweep_20260520_212826_summary_index.csv,none; independent training seed
A,EEGDenoiseNet,seed_observation,EMG,6,b6,6532,45,,0.8401848077774048,,,,,runs/jne_revision_high_leverage_20260601_150050_width_saturation_extra_seeds_summary_index.csv,none; independent training seed
A,EEGDenoiseNet,seed_observation,EMG,6,b6,6532,46,,0.8410128951072693,,,,,runs/jne_revision_high_leverage_20260601_150050_width_saturation_extra_seeds_summary_index.csv,none; independent training seed
A,EEGDenoiseNet,seed_observation,EMG,8,b8,10990,42,,0.8427336812019348,,,,,runs/attention_width_sweep_20260520_212826_summary_index.csv,none; independent training seed
A,EEGDenoiseNet,seed_observation,EMG,8,b8,10990,43,,0.8433422446250916,,,,,runs/attention_width_sweep_20260520_212826_summary_index.csv,none; independent training seed
A,EEGDenoiseNet,seed_observation,EMG,8,b8,10990,44,,0.8420588374137878,,,,,runs/attention_width_sweep_20260520_212826_summary_index.csv,none; independent training seed
A,EEGDenoiseNet,seed_observation,EMG,8,b8,10990,45,,0.8428810834884644,,,,,runs/jne_revision_high_leverage_20260601_150050_width_saturation_extra_seeds_summary_index.csv,none; independent training seed
A,EEGDenoiseNet,seed_observation,EMG,8,b8,10990,46,,0.8427901268005371,,,,,runs/jne_revision_high_leverage_20260601_150050_width_saturation_extra_seeds_summary_index.csv,none; independent training seed
A,EEGDenoiseNet,seed_observation,EMG,16,b16,40262,42,,0.8406802415847778,,,,,runs/attention_width_sweep_20260520_212826_summary_index.csv,none; independent training seed
A,EEGDenoiseNet,seed_observation,EMG,16,b16,40262,43,,0.8439701199531555,,,,,runs/attention_width_sweep_20260520_212826_summary_index.csv,none; independent training seed
A,EEGDenoiseNet,seed_observation,EMG,16,b16,40262,44,,0.8441333770751953,,,,,runs/attention_width_sweep_20260520_212826_summary_index.csv,none; independent training seed
A,EEGDenoiseNet,seed_observation,EMG,16,b16,40262,45,,0.8417152166366577,,,,,runs/jne_revision_high_leverage_20260601_150050_width_saturation_extra_seeds_summary_index.csv,none; independent training seed
A,EEGDenoiseNet,seed_observation,EMG,16,b16,40262,46,,0.842034101486206,,,,,runs/jne_revision_high_leverage_20260601_150050_width_saturation_extra_seeds_summary_index.csv,none; independent training seed
A,EEGDenoiseNet,seed_observation,EOG,2,b2,1048,42,,0.849756121635437,,,,,runs/attention_width_sweep_20260520_212826_summary_index.csv,none; independent training seed
A,EEGDenoiseNet,seed_observation,EOG,2,b2,1048,43,,0.8897610306739807,,,,,runs/attention_width_sweep_20260520_212826_summary_index.csv,none; independent training seed
A,EEGDenoiseNet,seed_observation,EOG,2,b2,1048,44,,0.8704563975334167,,,,,runs/attention_width_sweep_20260520_212826_summary_index.csv,none; independent training seed
A,EEGDenoiseNet,seed_observation,EOG,2,b2,1048,45,,0.8739844560623169,,,,,runs/jne_revision_high_leverage_20260601_150050_width_saturation_extra_seeds_summary_index.csv,none; independent training seed
A,EEGDenoiseNet,seed_observation,EOG,2,b2,1048,46,,0.8703950047492981,,,,,runs/jne_revision_high_leverage_20260601_150050_width_saturation_extra_seeds_summary_index.csv,none; independent training seed
A,EEGDenoiseNet,seed_observation,EOG,4,b4,3218,42,,0.8986411690711975,,,,,runs/attention_width_sweep_20260520_212826_summary_index.csv,none; independent training seed
A,EEGDenoiseNet,seed_observation,EOG,4,b4,3218,43,,0.8995012640953064,,,,,runs/attention_width_sweep_20260520_212826_summary_index.csv,none; independent training seed
A,EEGDenoiseNet,seed_observation,EOG,4,b4,3218,44,,0.8955281972885132,,,,,runs/attention_width_sweep_20260520_212826_summary_index.csv,none; independent training seed
A,EEGDenoiseNet,seed_observation,EOG,4,b4,3218,45,,0.8981603980064392,,,,,runs/jne_revision_high_leverage_20260601_150050_width_saturation_extra_seeds_summary_index.csv,none; independent training seed
A,EEGDenoiseNet,seed_observation,EOG,4,b4,3218,46,,0.897542417049408,,,,,runs/jne_revision_high_leverage_20260601_150050_width_saturation_extra_seeds_summary_index.csv,none; independent training seed
A,EEGDenoiseNet,seed_observation,EOG,6,b6,6532,42,,0.9047949910163879,,,,,runs/attention_width_sweep_20260520_212826_summary_index.csv,none; independent training seed
A,EEGDenoiseNet,seed_observation,EOG,6,b6,6532,43,,0.9060389399528503,,,,,runs/attention_width_sweep_20260520_212826_summary_index.csv,none; independent training seed
A,EEGDenoiseNet,seed_observation,EOG,6,b6,6532,44,,0.8988013863563538,,,,,runs/attention_width_sweep_20260520_212826_summary_index.csv,none; independent training seed
A,EEGDenoiseNet,seed_observation,EOG,6,b6,6532,45,,0.9053435325622559,,,,,runs/jne_revision_high_leverage_20260601_150050_width_saturation_extra_seeds_summary_index.csv,none; independent training seed
A,EEGDenoiseNet,seed_observation,EOG,6,b6,6532,46,,0.904827356338501,,,,,runs/jne_revision_high_leverage_20260601_150050_width_saturation_extra_seeds_summary_index.csv,none; independent training seed
A,EEGDenoiseNet,seed_observation,EOG,8,b8,10990,42,,0.9072588086128235,,,,,runs/attention_width_sweep_20260520_212826_summary_index.csv,none; independent training seed
A,EEGDenoiseNet,seed_observation,EOG,8,b8,10990,43,,0.9088496565818787,,,,,runs/attention_width_sweep_20260520_212826_summary_index.csv,none; independent training seed
A,EEGDenoiseNet,seed_observation,EOG,8,b8,10990,44,,0.9072689414024353,,,,,runs/attention_width_sweep_20260520_212826_summary_index.csv,none; independent training seed
A,EEGDenoiseNet,seed_observation,EOG,8,b8,10990,45,,0.9055678248405457,,,,,runs/jne_revision_high_leverage_20260601_150050_width_saturation_extra_seeds_summary_index.csv,none; independent training seed
A,EEGDenoiseNet,seed_observation,EOG,8,b8,10990,46,,0.9085266590118408,,,,,runs/jne_revision_high_leverage_20260601_150050_width_saturation_extra_seeds_summary_index.csv,none; independent training seed
A,EEGDenoiseNet,seed_observation,EOG,16,b16,40262,42,,0.9148211479187012,,,,,runs/attention_width_sweep_20260520_212826_summary_index.csv,none; independent training seed
A,EEGDenoiseNet,seed_observation,EOG,16,b16,40262,43,,0.9150828719139099,,,,,runs/attention_width_sweep_20260520_212826_summary_index.csv,none; independent training seed
A,EEGDenoiseNet,seed_observation,EOG,16,b16,40262,44,,0.9137660264968872,,,,,runs/attention_width_sweep_20260520_212826_summary_index.csv,none; independent training seed
A,EEGDenoiseNet,seed_observation,EOG,16,b16,40262,45,,0.9151591062545776,,,,,runs/jne_revision_high_leverage_20260601_150050_width_saturation_extra_seeds_summary_index.csv,none; independent training seed
A,EEGDenoiseNet,seed_observation,EOG,16,b16,40262,46,,0.9149618148803711,,,,,runs/jne_revision_high_leverage_20260601_150050_width_saturation_extra_seeds_summary_index.csv,none; independent training seed
A,EEGDenoiseNet,seed_summary,EMG,2,b2,1048,,,,0.8220901966094971,0.007298394521089098,,,derived from plotted seed observations,mean and sample SD across independent training seeds
A,EEGDenoiseNet,seed_summary,EMG,4,b4,3218,,,,0.837435495853424,0.0006258577170186636,,,derived from plotted seed observations,mean and sample SD across independent training seeds
A,EEGDenoiseNet,seed_summary,EMG,6,b6,6532,,,,0.8404464721679688,0.0008526064788205711,,,derived from plotted seed observations,mean and sample SD across independent training seeds
