width,base,seed,parameters,CC,source_file,run_dir
base2,2,42,1048,0.6814188957214355,runs/mixed1m_pareto_multiseed_20260521_141627_summary_index.csv,runs/mixed1m_pareto_multiseed_20260521_141627_mixed_base2_seed42
base2,2,43,1048,0.7077566385269165,runs/mixed1m_pareto_multiseed_20260521_141627_summary_index.csv,runs/mixed1m_pareto_multiseed_20260521_141627_mixed_base2_seed43
base2,2,44,1048,0.7033253312110901,runs/mixed1m_pareto_multiseed_20260521_141627_summary_index.csv,runs/mixed1m_pareto_multiseed_20260521_141627_mixed_base2_seed44
base4,4,42,3218,0.7269265055656433,runs/mixed1m_pareto_multiseed_20260521_141627_summary_index.csv,runs/mixed1m_pareto_multiseed_20260521_141627_mixed_base4_seed42
base4,4,43,3218,0.727415919303894,runs/mixed1m_pareto_multiseed_20260521_141627_summary_index.csv,runs/mixed1m_pareto_multiseed_20260521_141627_mixed_base4_seed43
base4,4,44,3218,0.7280877828598022,runs/mixed1m_pareto_multiseed_20260521_141627_summary_index.csv,runs/mixed1m_pareto_multiseed_20260521_141627_mixed_base4_seed44
base6,6,42,6532,0.7339723706245422,runs/mixed1m_pareto_multiseed_20260521_141627_summary_index.csv,runs/mixed1m_pareto_multiseed_20260521_141627_mixed_base6_seed42
base6,6,43,6532,0.7346168756484985,runs/mixed1m_pareto_multiseed_20260521_141627_summary_index.csv,runs/mixed1m_pareto_multiseed_20260521_141627_mixed_base6_seed43
base6,6,44,6532,0.737286388874054,runs/mixed1m_pareto_multiseed_20260521_141627_summary_index.csv,runs/mixed1m_pareto_multiseed_20260521_141627_mixed_base6_seed44
base8,8,42,10990,0.7414870858192444,runs/mixed1m_pareto_multiseed_20260521_141627_summary_index.csv,runs/mixed1m_pareto_multiseed_20260521_141627_mixed_base8_seed42
base8,8,43,10990,0.7410934567451477,runs/mixed1m_pareto_multiseed_20260521_141627_summary_index.csv,runs/mixed1m_pareto_multiseed_20260521_141627_mixed_base8_seed43
base8,8,44,10990,0.7404900789260864,runs/mixed1m_pareto_multiseed_20260521_141627_summary_index.csv,runs/mixed1m_pareto_multiseed_20260521_141627_mixed_base8_seed44
base16,16,42,40262,0.7490525245666504,runs/mixed1m_pareto_multiseed_20260521_141627_summary_index.csv,runs/mixed1m_pareto_multiseed_20260521_141627_mixed_base16_seed42
base16,16,43,40262,0.7498526573181152,runs/mixed1m_pareto_multiseed_20260521_141627_summary_index.csv,runs/mixed1m_pareto_multiseed_20260521_141627_mixed_base16_seed43
base16,16,44,40262,0.7490725517272949,runs/mixed1m_pareto_multiseed_20260521_141627_summary_index.csv,runs/mixed1m_pareto_multiseed_20260521_141627_mixed_base16_seed44
