dataset,subject,width,base,parameters,CC,n_checkpoints,train_seeds,source_file
BCI_IV2a,A01,base2,2,1048,0.6846669382519193,3,42 43 44,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
BCI_IV2a,A01,base4,4,3218,0.7295436792903477,3,42 43 44,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
BCI_IV2a,A01,base6,6,6532,0.7366874085532295,3,42 43 44,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
BCI_IV2a,A01,base8,8,10990,0.742039269871182,3,42 43 44,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
BCI_IV2a,A01,base16,16,40262,0.741284085644616,3,42 43 44,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
BCI_IV2a,A02,base2,2,1048,0.6626495454046462,3,42 43 44,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
BCI_IV2a,A02,base4,4,3218,0.690681517124176,3,42 43 44,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
BCI_IV2a,A02,base6,6,6532,0.6938196221987407,3,42 43 44,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
BCI_IV2a,A02,base8,8,10990,0.6844287912050883,3,42 43 44,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
BCI_IV2a,A02,base16,16,40262,0.672268807888031,3,42 43 44,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
BCI_IV2a,A03,base2,2,1048,0.6804080075687833,3,42 43 44,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
BCI_IV2a,A03,base4,4,3218,0.6976540949609544,3,42 43 44,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
BCI_IV2a,A03,base6,6,6532,0.6970135834481981,3,42 43 44,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
BCI_IV2a,A03,base8,8,10990,0.6926326221889919,3,42 43 44,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
BCI_IV2a,A03,base16,16,40262,0.6817335486412048,3,42 43 44,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
BCI_IV2a,A04,base2,2,1048,0.7671263813972473,3,42 43 44,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
BCI_IV2a,A04,base4,4,3218,0.8100486662652757,3,42 43 44,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
BCI_IV2a,A04,base6,6,6532,0.8184601532088386,3,42 43 44,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
BCI_IV2a,A04,base8,8,10990,0.8214663929409451,3,42 43 44,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
BCI_IV2a,A04,base16,16,40262,0.8223958479033576,3,42 43 44,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
BCI_IV2a,A05,base2,2,1048,0.5693955421447754,3,42 43 44,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
BCI_IV2a,A05,base4,4,3218,0.6148624685075548,3,42 43 44,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
BCI_IV2a,A05,base6,6,6532,0.6114286382993063,3,42 43 44,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
BCI_IV2a,A05,base8,8,10990,0.6269554628266228,3,42 43 44,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
BCI_IV2a,A05,base16,16,40262,0.6362347536616855,3,42 43 44,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
BCI_IV2a,A06,base2,2,1048,0.6977217197418213,3,42 43 44,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
BCI_IV2a,A06,base4,4,3218,0.7174489961730109,3,42 43 44,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
BCI_IV2a,A06,base6,6,6532,0.7208980454338921,3,42 43 44,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
BCI_IV2a,A06,base8,8,10990,0.7207813130484687,3,42 43 44,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
BCI_IV2a,A06,base16,16,40262,0.718599345948961,3,42 43 44,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
BCI_IV2a,A07,base2,2,1048,0.7513853046629164,3,42 43 44,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
BCI_IV2a,A07,base4,4,3218,0.7872412602106731,3,42 43 44,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
BCI_IV2a,A07,base6,6,6532,0.7906558977233039,3,42 43 44,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
BCI_IV2a,A07,base8,8,10990,0.7951702210638258,3,42 43 44,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
BCI_IV2a,A07,base16,16,40262,0.7937671211030748,3,42 43 44,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
BCI_IV2a,A08,base2,2,1048,0.7457658582263522,3,42 43 44,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
BCI_IV2a,A08,base4,4,3218,0.7764474749565125,3,42 43 44,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
BCI_IV2a,A08,base6,6,6532,0.7806143893135918,3,42 43 44,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
BCI_IV2a,A08,base8,8,10990,0.7678575846883986,3,42 43 44,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
BCI_IV2a,A08,base16,16,40262,0.7604184084468417,3,42 43 44,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
