run_id,recipe,recipe_label,classifier,classifier_label,base,subject,delta_accuracy,baseline_accuracy_mean,processed_accuracy_mean,n_contamination_seed_pairs,n_checkpoint_seeds,n_classifier_seeds,n_technical_observations_aggregated,primary_independent_unit,source_file
hierarchical_downstream_stats_20260815_000000,emg,EMG,csp_lda,CSP+LDA,16,A01,-0.2031316725978647,0.8099644128113879,0.6068327402135232,5,5,0,25,subject,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv
hierarchical_downstream_stats_20260815_000000,emg,EMG,csp_lda,CSP+LDA,16,A02,-0.2118727915194346,0.545583038869258,0.3337102473498233,5,5,0,25,subject,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv
hierarchical_downstream_stats_20260815_000000,emg,EMG,csp_lda,CSP+LDA,16,A03,-0.0728205128205128,0.7465201465201465,0.6736996336996337,5,5,0,25,subject,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv
hierarchical_downstream_stats_20260815_000000,emg,EMG,csp_lda,CSP+LDA,16,A04,-0.1721052631578947,0.5956140350877193,0.4235087719298245,5,5,0,25,subject,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv
hierarchical_downstream_stats_20260815_000000,emg,EMG,csp_lda,CSP+LDA,16,A05,-0.0065217391304347,0.294927536231884,0.2884057971014492,5,5,0,25,subject,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv
hierarchical_downstream_stats_20260815_000000,emg,EMG,csp_lda,CSP+LDA,16,A06,-0.0805581395348837,0.4641860465116279,0.3836279069767442,5,5,0,25,subject,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv
hierarchical_downstream_stats_20260815_000000,emg,EMG,csp_lda,CSP+LDA,16,A07,-0.0586281588447653,0.5747292418772563,0.516101083032491,5,5,0,25,subject,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv
hierarchical_downstream_stats_20260815_000000,emg,EMG,csp_lda,CSP+LDA,16,A08,-0.0949077490774907,0.7859778597785978,0.691070110701107,5,5,0,25,subject,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv
hierarchical_downstream_stats_20260815_000000,emg,EMG,csp_lda,CSP+LDA,16,A09,-0.015,0.7128787878787879,0.6978787878787879,5,5,0,25,subject,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv
hierarchical_downstream_stats_20260815_000000,emg,EMG,deep4net,Deep4Net,16,A01,-0.0469223672070647,0.5848161328588375,0.5378937656517728,3,3,3,27,subject,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv
hierarchical_downstream_stats_20260815_000000,emg,EMG,deep4net,Deep4Net,16,A02,-0.0068053919644025,0.2673733804475854,0.2605679884831828,3,3,3,27,subject,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv
