row_type,panel,recipe,classifier,classifier_label,base,subject,delta_accuracy,mean_delta_accuracy,bootstrap_ci95_low,bootstrap_ci95_high,n_subjects_for_inference,primary_independent_unit,n_contamination_seed_pairs,n_checkpoint_seeds,n_classifier_seeds,n_technical_observations_aggregated,source_file,aggregation
subject,EOG,eog,csp_lda,CSP+LDA,16,A01,-0.0828469750889679,,,,9,subject,5.0,5.0,0.0,25.0,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv,Subject-level delta after contamination/checkpoint/classifier-seed nuisance aggregation
subject,EOG,eog,csp_lda,CSP+LDA,16,A02,-0.1426148409893992,,,,9,subject,5.0,5.0,0.0,25.0,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv,Subject-level delta after contamination/checkpoint/classifier-seed nuisance aggregation
subject,EOG,eog,csp_lda,CSP+LDA,16,A03,-0.0502564102564102,,,,9,subject,5.0,5.0,0.0,25.0,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv,Subject-level delta after contamination/checkpoint/classifier-seed nuisance aggregation
subject,EOG,eog,csp_lda,CSP+LDA,16,A04,-0.0514035087719298,,,,9,subject,5.0,5.0,0.0,25.0,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv,Subject-level delta after contamination/checkpoint/classifier-seed nuisance aggregation
subject,EOG,eog,csp_lda,CSP+LDA,16,A05,0.0133333333333333,,,,9,subject,5.0,5.0,0.0,25.0,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv,Subject-level delta after contamination/checkpoint/classifier-seed nuisance aggregation
subject,EOG,eog,csp_lda,CSP+LDA,16,A06,-0.0297674418604651,,,,9,subject,5.0,5.0,0.0,25.0,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv,Subject-level delta after contamination/checkpoint/classifier-seed nuisance aggregation
subject,EOG,eog,csp_lda,CSP+LDA,16,A07,-0.1126353790613718,,,,9,subject,5.0,5.0,0.0,25.0,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv,Subject-level delta after contamination/checkpoint/classifier-seed nuisance aggregation
subject,EOG,eog,csp_lda,CSP+LDA,16,A08,-0.0335055350553505,,,,9,subject,5.0,5.0,0.0,25.0,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv,Subject-level delta after contamination/checkpoint/classifier-seed nuisance aggregation
subject,EOG,eog,csp_lda,CSP+LDA,16,A09,-0.0275757575757575,,,,9,subject,5.0,5.0,0.0,25.0,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv,Subject-level delta after contamination/checkpoint/classifier-seed nuisance aggregation
mean_ci,EOG,eog,csp_lda,CSP+LDA,16,,,-0.0574747239251465,-0.0874223996342399,-0.0294340840529812,9,subject,,,,,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_confirmatory_effects.csv,Mean and 95% subject-bootstrap CI across n=9 subjects
