classifier,recipe,subject,base,sdr_db,delta_accuracy,n_condition_rows,n_contamination_seed_pairs,n_train_contamination_seeds,n_test_contamination_seeds,n_checkpoint_seeds,n_classifier_seed_values,subject_mean_sdr_db,subject_mean_delta_accuracy,centered_sdr_db,centered_delta_accuracy,source_file,aggregation
csp_lda,emg,A01,2,1.6732454347610473,-0.16896797153024906,25,5,5,5,5,0,2.0048048419952393,-0.1894377224199288,-0.3315594072341921,0.020469750889679728,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv,"Display aggregation: SDR and downstream delta averaged to subject x width, then centered within subject"
csp_lda,emg,A01,4,1.941293625831604,-0.19117437722419928,25,5,5,5,5,0,2.0048048419952393,-0.1894377224199288,-0.06351121616363531,-0.0017366548042704877,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv,"Display aggregation: SDR and downstream delta averaged to subject x width, then centered within subject"
csp_lda,emg,A01,6,2.0617228984832763,-0.1958718861209964,25,5,5,5,5,0,2.0048048419952393,-0.1894377224199288,0.05691805648803694,-0.006434163701067613,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv,"Display aggregation: SDR and downstream delta averaged to subject x width, then centered within subject"
csp_lda,emg,A01,8,2.128267560005188,-0.18804270462633452,25,5,5,5,5,0,2.0048048419952393,-0.1894377224199288,0.12346271800994879,0.001395017793594272,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv,"Display aggregation: SDR and downstream delta averaged to subject x width, then centered within subject"
csp_lda,emg,A01,16,2.219494690895081,-0.20313167259786474,25,5,5,5,5,0,2.0048048419952393,-0.1894377224199288,0.21468984889984144,-0.013693950177935954,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv,"Display aggregation: SDR and downstream delta averaged to subject x width, then centered within subject"
csp_lda,emg,A02,2,1.250263171195984,-0.22190812720848052,25,5,5,5,5,0,1.3290107431411744,-0.22272791519434626,-0.07874757194519044,0.0008197879858657386,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv,"Display aggregation: SDR and downstream delta averaged to subject x width, then centered within subject"
csp_lda,emg,A02,4,1.3260759019851684,-0.23618374558303884,25,5,5,5,5,0,1.3290107431411744,-0.22272791519434626,-0.0029348411560059517,-0.01345583038869258,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv,"Display aggregation: SDR and downstream delta averaged to subject x width, then centered within subject"
csp_lda,emg,A02,6,1.3499433183670044,-0.2264310954063604,25,5,5,5,5,0,1.3290107431411744,-0.22272791519434626,0.02093257522583003,-0.003703180212014129,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv,"Display aggregation: SDR and downstream delta averaged to subject x width, then centered within subject"
csp_lda,emg,A02,8,1.3421859407424928,-0.2172438162544169,25,5,5,5,5,0,1.3290107431411744,-0.22272791519434626,0.013175197601318356,0.005484098939929349,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv,"Display aggregation: SDR and downstream delta averaged to subject x width, then centered within subject"
csp_lda,emg,A02,16,1.3765853834152222,-0.21187279151943458,25,5,5,5,5,0,1.3290107431411744,-0.22272791519434626,0.047574640274047786,0.010855123674911676,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv,"Display aggregation: SDR and downstream delta averaged to subject x width, then centered within subject"
csp_lda,emg,A03,2,2.16335196018219,-0.14065934065934063,25,5,5,5,5,0,2.254681824684143,-0.11425641025641023,-0.09132986450195313,-0.026402930402930402,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv,"Display aggregation: SDR and downstream delta averaged to subject x width, then centered within subject"
csp_lda,emg,A03,4,2.264606246948242,-0.12219780219780217,25,5,5,5,5,0,2.254681824684143,-0.11425641025641023,0.009924422264099064,-0.007941391941391943,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv,"Display aggregation: SDR and downstream delta averaged to subject x width, then centered within subject"
csp_lda,emg,A03,6,2.2870858192443846,-0.11663003663003661,25,5,5,5,5,0,2.254681824684143,-0.11425641025641023,0.03240399456024168,-0.0023736263736263835,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv,"Display aggregation: SDR and downstream delta averaged to subject x width, then centered within subject"
csp_lda,emg,A03,8,2.2711668109893797,-0.11897435897435896,25,5,5,5,5,0,2.254681824684143,-0.11425641025641023,0.01648498630523676,-0.004717948717948728,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv,"Display aggregation: SDR and downstream delta averaged to subject x width, then centered within subject"
csp_lda,emg,A03,16,2.2871982860565185,-0.07282051282051279,25,5,5,5,5,0,2.254681824684143,-0.11425641025641023,0.03251646137237563,0.04143589743589744,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv,"Display aggregation: SDR and downstream delta averaged to subject x width, then centered within subject"
csp_lda,emg,A04,2,2.389345998764038,-0.20614035087719296,25,5,5,5,5,0,2.8017150535583495,-0.17501754385964907,-0.4123690547943113,-0.031122807017543885,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv,"Display aggregation: SDR and downstream delta averaged to subject x width, then centered within subject"
csp_lda,emg,A04,4,2.78598931312561,-0.16614035087719292,25,5,5,5,5,0,2.8017150535583495,-0.17501754385964907,-0.015725740432739332,0.00887719298245615,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv,"Display aggregation: SDR and downstream delta averaged to subject x width, then centered within subject"
csp_lda,emg,A04,6,2.8869946956634522,-0.16438596491228064,25,5,5,5,5,0,2.8017150535583495,-0.17501754385964907,0.08527964210510275,0.010631578947368436,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv,"Display aggregation: SDR and downstream delta averaged to subject x width, then centered within subject"
csp_lda,emg,A04,8,2.9546428108215332,-0.16631578947368414,25,5,5,5,5,0,2.8017150535583495,-0.17501754385964907,0.15292775726318375,0.008701754385964933,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv,"Display aggregation: SDR and downstream delta averaged to subject x width, then centered within subject"
csp_lda,emg,A04,16,2.991602449417114,-0.17210526315789468,25,5,5,5,5,0,2.8017150535583495,-0.17501754385964907,0.18988739585876457,0.002912280701754394,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv,"Display aggregation: SDR and downstream delta averaged to subject x width, then centered within subject"
csp_lda,emg,A05,2,0.36057902097702027,-0.0033333333333333036,25,5,5,5,5,0,0.3415987553596496,-0.0004057971014492526,0.01898026561737065,-0.002927536231884051,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv,"Display aggregation: SDR and downstream delta averaged to subject x width, then centered within subject"
