row_type,panel,panel_title,condition_label,condition,delta_reference,subject,denoiser_label,display_label,model_order,delta_balanced_accuracy,mean_delta_balanced_accuracy,ci95_low,ci95_high,n_source_rows,n_subjects,n_checkpoint_seeds,n_contamination_pairs,n_train_contamination_seeds,n_test_contamination_seeds,source_file,aggregation
mean_ci,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,,base2,base2,0,,-0.0566906851550331,-0.0694550090846815,-0.0443795163165713,,75.0,5,5.0,,,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_summary.csv,Mean and 95% subject-bootstrap CI across 75 subjects
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC400,base2,base2,0,-0.07868756917616619,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC401,base2,base2,0,-0.015727372551872402,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC402,base2,base2,0,-0.14361513207160526,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC403,base2,base2,0,-0.027224761656763564,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC404,base2,base2,0,-0.05108024258097585,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC405,base2,base2,0,-0.048023753227340586,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC406,base2,base2,0,-0.09456442062070806,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC407,base2,base2,0,-0.12141189448752472,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC408,base2,base2,0,-0.05293372247708267,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC409,base2,base2,0,-0.030510655866724384,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC410,base2,base2,0,-0.14192380003907223,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC411,base2,base2,0,-0.15695894610876093,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC412,base2,base2,0,-0.008393728595496624,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC414,base2,base2,0,-0.011434104534104204,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC415,base2,base2,0,-0.13522561011891912,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC416,base2,base2,0,0.02146544446838566,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
