task,task_label,metric,metric_label,base,base_label,epoch,mean,se,sd,n,seeds,budget,lr,source_file,aggregation
emg,EMG,train_loss,Training loss,4,base4,1,0.1356834054170619,0.0046437886676618,0.0065673089146018,2,42 43,extended,0.001,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv,training-seed mean +/- standard error from matched extended-budget runs
emg,EMG,train_loss,Training loss,4,base4,2,0.0840249590575695,9.87547848905826e-05,0.0001396603561414,2,42 43,extended,0.001,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv,training-seed mean +/- standard error from matched extended-budget runs
emg,EMG,train_loss,Training loss,4,base4,3,0.0689852919252145,0.0001434571686245,0.0002028790734884,2,42 43,extended,0.001,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv,training-seed mean +/- standard error from matched extended-budget runs
emg,EMG,train_loss,Training loss,4,base4,4,0.0672782826636518,0.000213100051596,0.0003013689831095,2,42 43,extended,0.001,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv,training-seed mean +/- standard error from matched extended-budget runs
emg,EMG,train_loss,Training loss,4,base4,5,0.0664229857070105,0.0001815408113456,0.0002567374775292,2,42 43,extended,0.001,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv,training-seed mean +/- standard error from matched extended-budget runs
emg,EMG,train_loss,Training loss,4,base4,6,0.0658784504625059,0.0001515325513624,0.0002142993892777,2,42 43,extended,0.001,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv,training-seed mean +/- standard error from matched extended-budget runs
emg,EMG,train_loss,Training loss,4,base4,7,0.0654992861052354,8.177278297288175e-05,0.0001156441787132,2,42 43,extended,0.001,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv,training-seed mean +/- standard error from matched extended-budget runs
emg,EMG,train_loss,Training loss,4,base4,8,0.0651751780882477,1.1606700718404249e-05,1.6414353570372835e-05,2,42 43,extended,0.001,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv,training-seed mean +/- standard error from matched extended-budget runs
emg,EMG,train_loss,Training loss,4,base4,9,0.064957757666707,6.758565349238022e-05,9.558054779077264e-05,2,42 43,extended,0.001,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv,training-seed mean +/- standard error from matched extended-budget runs
emg,EMG,train_loss,Training loss,4,base4,10,0.0647953577960531,0.0001234447406161,0.0001745772263829,2,42 43,extended,0.001,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv,training-seed mean +/- standard error from matched extended-budget runs
