source_type,source_label,split,split_label,reuse_count,ecdf,source_file,aggregation
clean,Clean EEG,test,Test,180,0.0022123893805309,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_ecdf.csv,ECDF of within-split source reuse counts
clean,Clean EEG,test,Test,182,0.0044247787610619,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_ecdf.csv,ECDF of within-split source reuse counts
clean,Clean EEG,test,Test,184,0.0088495575221238,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_ecdf.csv,ECDF of within-split source reuse counts
clean,Clean EEG,test,Test,186,0.0110619469026548,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_ecdf.csv,ECDF of within-split source reuse counts
clean,Clean EEG,test,Test,188,0.0154867256637168,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_ecdf.csv,ECDF of within-split source reuse counts
clean,Clean EEG,test,Test,190,0.0176991150442477,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_ecdf.csv,ECDF of within-split source reuse counts
clean,Clean EEG,test,Test,191,0.0199115044247787,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_ecdf.csv,ECDF of within-split source reuse counts
clean,Clean EEG,test,Test,192,0.0265486725663716,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_ecdf.csv,ECDF of within-split source reuse counts
clean,Clean EEG,test,Test,193,0.0331858407079646,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_ecdf.csv,ECDF of within-split source reuse counts
clean,Clean EEG,test,Test,194,0.0398230088495575,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_ecdf.csv,ECDF of within-split source reuse counts
clean,Clean EEG,test,Test,195,0.0486725663716814,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_ecdf.csv,ECDF of within-split source reuse counts
clean,Clean EEG,test,Test,196,0.0508849557522123,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_ecdf.csv,ECDF of within-split source reuse counts
clean,Clean EEG,test,Test,197,0.0597345132743362,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_ecdf.csv,ECDF of within-split source reuse counts
clean,Clean EEG,test,Test,198,0.0641592920353982,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_ecdf.csv,ECDF of within-split source reuse counts
clean,Clean EEG,test,Test,199,0.081858407079646,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_ecdf.csv,ECDF of within-split source reuse counts
clean,Clean EEG,test,Test,200,0.0884955752212389,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_ecdf.csv,ECDF of within-split source reuse counts
clean,Clean EEG,test,Test,201,0.0995575221238938,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_ecdf.csv,ECDF of within-split source reuse counts
clean,Clean EEG,test,Test,202,0.1106194690265486,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_ecdf.csv,ECDF of within-split source reuse counts
clean,Clean EEG,test,Test,203,0.1261061946902655,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_ecdf.csv,ECDF of within-split source reuse counts
clean,Clean EEG,test,Test,204,0.1393805309734513,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_ecdf.csv,ECDF of within-split source reuse counts
clean,Clean EEG,test,Test,205,0.1592920353982301,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_ecdf.csv,ECDF of within-split source reuse counts
clean,Clean EEG,test,Test,206,0.1747787610619469,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_ecdf.csv,ECDF of within-split source reuse counts
clean,Clean EEG,test,Test,207,0.1902654867256637,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_ecdf.csv,ECDF of within-split source reuse counts
clean,Clean EEG,test,Test,208,0.2079646017699115,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_ecdf.csv,ECDF of within-split source reuse counts
clean,Clean EEG,test,Test,209,0.2300884955752212,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_ecdf.csv,ECDF of within-split source reuse counts
clean,Clean EEG,test,Test,210,0.25,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_ecdf.csv,ECDF of within-split source reuse counts
clean,Clean EEG,test,Test,211,0.2743362831858407,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_ecdf.csv,ECDF of within-split source reuse counts
clean,Clean EEG,test,Test,212,0.3008849557522124,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_ecdf.csv,ECDF of within-split source reuse counts
clean,Clean EEG,test,Test,213,0.331858407079646,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_ecdf.csv,ECDF of within-split source reuse counts
clean,Clean EEG,test,Test,214,0.3539823008849557,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_ecdf.csv,ECDF of within-split source reuse counts
clean,Clean EEG,test,Test,215,0.3827433628318584,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_ecdf.csv,ECDF of within-split source reuse counts
clean,Clean EEG,test,Test,216,0.3982300884955752,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_ecdf.csv,ECDF of within-split source reuse counts
clean,Clean EEG,test,Test,217,0.4181415929203539,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_ecdf.csv,ECDF of within-split source reuse counts
clean,Clean EEG,test,Test,218,0.4513274336283185,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_ecdf.csv,ECDF of within-split source reuse counts
clean,Clean EEG,test,Test,219,0.4668141592920354,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_ecdf.csv,ECDF of within-split source reuse counts
clean,Clean EEG,test,Test,220,0.4845132743362831,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_ecdf.csv,ECDF of within-split source reuse counts
clean,Clean EEG,test,Test,221,0.5088495575221239,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_ecdf.csv,ECDF of within-split source reuse counts
clean,Clean EEG,test,Test,222,0.5376106194690266,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_ecdf.csv,ECDF of within-split source reuse counts
