row_type,dataset,subject,base,CC,SDR,n_checkpoints,train_seeds,CC_mean,CC_ci95_low,CC_ci95_high,SDR_mean,SDR_ci95_low,SDR_ci95_high,n_subjects,source_file
subject,BCI_IV2a,A01,2,0.6846669382519193,2.561195479498969,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
subject,BCI_IV2a,A01,4,0.7295436792903477,3.289498700035943,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
subject,BCI_IV2a,A01,6,0.7366874085532295,3.4346439838409424,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
subject,BCI_IV2a,A01,8,0.742039269871182,3.531625297334459,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
subject,BCI_IV2a,A01,16,0.741284085644616,3.5732365714179144,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
subject,BCI_IV2a,A02,2,0.6626495454046462,2.4964814715915256,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
subject,BCI_IV2a,A02,4,0.690681517124176,2.992553340064154,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
subject,BCI_IV2a,A02,6,0.6938196221987407,3.0542319880591497,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
subject,BCI_IV2a,A02,8,0.6844287912050883,3.0215955045488148,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
subject,BCI_IV2a,A02,16,0.672268807888031,2.9169705973731146,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
subject,BCI_IV2a,A03,2,0.6804080075687833,2.5982319513956704,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
subject,BCI_IV2a,A03,4,0.6976540949609544,2.885181771384345,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
subject,BCI_IV2a,A03,6,0.6970135834481981,2.893907149632772,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
subject,BCI_IV2a,A03,8,0.6926326221889919,2.877418120702108,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
subject,BCI_IV2a,A03,16,0.6817335486412048,2.77156310611301,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
subject,BCI_IV2a,A04,2,0.7671263813972473,3.621129565768772,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
subject,BCI_IV2a,A04,4,0.8100486662652757,4.692831039428711,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
subject,BCI_IV2a,A04,6,0.8184601532088386,4.915920257568359,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
subject,BCI_IV2a,A04,8,0.8214663929409451,5.012423992156982,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
subject,BCI_IV2a,A04,16,0.8223958479033576,5.081780009799534,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
subject,BCI_IV2a,A05,2,0.5693955421447754,1.3557729985978868,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
subject,BCI_IV2a,A05,4,0.6148624685075548,1.9556189907921688,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
subject,BCI_IV2a,A05,6,0.6114286382993063,2.018024894926283,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
subject,BCI_IV2a,A05,8,0.6269554628266228,2.16446942753262,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
subject,BCI_IV2a,A05,16,0.6362347536616855,2.339195516374376,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
subject,BCI_IV2a,A06,2,0.6977217197418213,2.7794708675808377,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
subject,BCI_IV2a,A06,4,0.7174489961730109,2.9084503915574818,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
subject,BCI_IV2a,A06,6,0.7208980454338921,2.9139219654930963,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
subject,BCI_IV2a,A06,8,0.7207813130484687,2.8342357211642795,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
subject,BCI_IV2a,A06,16,0.718599345948961,2.80270971192254,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
subject,BCI_IV2a,A07,2,0.7513853046629164,3.493058522542318,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
subject,BCI_IV2a,A07,4,0.7872412602106731,4.294286674923368,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
subject,BCI_IV2a,A07,6,0.7906558977233039,4.3821832868787975,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
subject,BCI_IV2a,A07,8,0.7951702210638258,4.481045987870958,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
subject,BCI_IV2a,A07,16,0.7937671211030748,4.480952103932698,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
subject,BCI_IV2a,A08,2,0.7457658582263522,3.5203406280941434,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
subject,BCI_IV2a,A08,4,0.7764474749565125,4.076062361399333,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
subject,BCI_IV2a,A08,6,0.7806143893135918,4.137396812438965,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
subject,BCI_IV2a,A08,8,0.7678575846883986,3.924966785642836,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
subject,BCI_IV2a,A08,16,0.7604184084468417,3.786374171574911,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
subject,BCI_IV2a,A09,2,0.7540799842940437,3.543810394075181,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
