run_id,dataset,metric,comparison,base_low,base_high,n_subjects,subjects,mean_incremental_improvement,median_incremental_improvement,sd_incremental_improvement,n_positive_subjects,n_negative_subjects,subject_increments,source_file
a7_bci_zero_shot_all_subjects_20260815_000000,BCI_IV2a,CC,base2_to_base4,2,4,9,A01 A02 A03 A04 A05 A06 A07 A08 A09,0.0328897870617148,0.0311992234653897,0.010372018144955,9,0,A01:+0.044877 A02:+0.028032 A03:+0.017246 A04:+0.042922 A05:+0.045467 A06:+0.019727 A07:+0.035856 A08:+0.030682 A09:+0.031199,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_adjacent_width_subject_heterogeneity.csv
a7_bci_zero_shot_all_subjects_20260815_000000,BCI_IV2a,CC,base4_to_base6,4,6,9,A01 A02 A03 A04 A05 A06 A07 A08 A09,0.0030137168036566,0.0034146375126308,0.0036260151641772,7,2,A01:+0.007144 A02:+0.003138 A03:-0.000641 A04:+0.008411 A05:-0.003434 A06:+0.003449 A07:+0.003415 A08:+0.004167 A09:+0.001474,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_adjacent_width_subject_heterogeneity.csv
a7_bci_zero_shot_all_subjects_20260815_000000,BCI_IV2a,CC,base6_to_base8,6,8,9,A01 A02 A03 A04 A05 A06 A07 A08 A09,0.0001182850496268,-0.0001167323854234,0.0084381632929404,4,5,A01:+0.005352 A02:-0.009391 A03:-0.004381 A04:+0.003006 A05:+0.015527 A06:-0.000117 A07:+0.004514 A08:-0.012757 A09:-0.000689,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_adjacent_width_subject_heterogeneity.csv
a7_bci_zero_shot_all_subjects_20260815_000000,BCI_IV2a,CC,base8_to_base16,8,16,9,A01 A02 A03 A04 A05 A06 A07 A08 A09,-0.0028157631556193,-0.001403099960751,0.0065709195438522,2,7,A01:-0.000755 A02:-0.012160 A03:-0.010899 A04:+0.000929 A05:+0.009279 A06:-0.002182 A07:-0.001403 A08:-0.007439 A09:-0.000712,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_adjacent_width_subject_heterogeneity.csv
a7_bci_zero_shot_all_subjects_20260815_000000,BCI_IV2a,SDR,base2_to_base4,2,4,9,A01 A02 A03 A04 A05 A06 A07 A08 A09,0.5825498162964245,0.5741465621524386,0.2761355951321319,9,0,A01:+0.728303 A02:+0.496072 A03:+0.286950 A04:+1.071701 A05:+0.599846 A06:+0.128980 A07:+0.801228 A08:+0.555722 A09:+0.574147,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_adjacent_width_subject_heterogeneity.csv
a7_bci_zero_shot_all_subjects_20260815_000000,BCI_IV2a,SDR,base4_to_base6,4,6,9,A01 A02 A03 A04 A05 A06 A07 A08 A09,0.0705041002344201,0.0616786479949951,0.0756975252371392,8,1,A01:+0.145145 A02:+0.061679 A03:+0.008725 A04:+0.223089 A05:+0.062406 A06:+0.005472 A07:+0.087897 A08:+0.061334 A09:-0.021210,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_adjacent_width_subject_heterogeneity.csv
a7_bci_zero_shot_all_subjects_20260815_000000,BCI_IV2a,SDR,base6_to_base8,6,8,9,A01 A02 A03 A04 A05 A06 A07 A08 A09,0.0087175722475406,-0.016489028930664,0.1131548584020354,4,5,A01:+0.096981 A02:-0.032636 A03:-0.016489 A04:+0.096504 A05:+0.146445 A06:-0.079686 A07:+0.098863 A08:-0.212430 A09:-0.019092,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_adjacent_width_subject_heterogeneity.csv
a7_bci_zero_shot_all_subjects_20260815_000000,BCI_IV2a,SDR,base8_to_base16,8,16,9,A01 A02 A03 A04 A05 A06 A07 A08 A09,-0.008968147230737,-9.388393826004204e-05,0.0993130532757862,4,5,A01:+0.041611 A02:-0.104625 A03:-0.105855 A04:+0.069356 A05:+0.174726 A06:-0.031526 A07:-0.000094 A08:-0.138593 A09:+0.014286,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_adjacent_width_subject_heterogeneity.csv
a7_bci_zero_shot_all_subjects_20260815_000000,BCI_IV2a,T_RRMSE,base2_to_base4,2,4,9,A01 A02 A03 A04 A05 A06 A07 A08 A09,0.0437966688179675,0.0400656925307379,0.020531217062814,9,0,A01:+0.059023 A02:+0.039158 A03:+0.023168 A04:+0.075274 A05:+0.053076 A06:+0.006811 A07:+0.058403 A08:+0.039191 A09:+0.040066,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_adjacent_width_subject_heterogeneity.csv
a7_bci_zero_shot_all_subjects_20260815_000000,BCI_IV2a,T_RRMSE,base4_to_base6,4,6,9,A01 A02 A03 A04 A05 A06 A07 A08 A09,0.0041679033526667,0.0036790834532843,0.0053184391198673,7,2,A01:+0.010367 A02:+0.004547 A03:+0.000654 A04:+0.013761 A05:+0.003122 A06:-0.000698 A07:+0.005441 A08:+0.003679 A09:-0.003362,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_adjacent_width_subject_heterogeneity.csv
