recipe,recipe_label,classifier,classifier_label,metric,metric_label,oriented_slope,bh_fdr_q,outlined_bh_fdr_q_lt_0_05,n_observations,n_subjects,source_file
eog,EOG,csp_lda,CSP+LDA,CC,CC,0.6608892549902674,0.1808125653939684,False,1125,9,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
eog,EOG,csp_lda,CSP+LDA,RMSE,RMSE,-0.0046344497964867,0.8496239962428713,False,1125,9,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
eog,EOG,csp_lda,CSP+LDA,T_RRMSE,T-RRMSE,-0.0466465820889336,0.8715354269478435,False,1125,9,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
eog,EOG,csp_lda,CSP+LDA,S_RRMSE,S-RRMSE,-0.0551846291570602,0.4920951019996317,False,1125,9,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
eog,EOG,csp_lda,CSP+LDA,SDR,SDR,0.00116645091682,0.9592669478932956,False,1125,9,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
eog,EOG,shallowfbcsp,ShallowFBCSPNet,CC,CC,0.1167992224202987,0.6929047542657458,False,162,9,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
eog,EOG,shallowfbcsp,ShallowFBCSPNet,RMSE,RMSE,0.0187306177279898,0.6557930150449922,False,162,9,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
eog,EOG,shallowfbcsp,ShallowFBCSPNet,T_RRMSE,T-RRMSE,0.2314437653678839,0.6557930150449922,False,162,9,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
eog,EOG,shallowfbcsp,ShallowFBCSPNet,S_RRMSE,S-RRMSE,0.0386346073032541,0.6557930150449922,False,162,9,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
eog,EOG,shallowfbcsp,ShallowFBCSPNet,SDR,SDR,0.0258997783666707,0.6417450652172175,False,162,9,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
eog,EOG,eegconformer,EEGConformer,CC,CC,0.3855555160509064,0.4860883502789439,False,162,9,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
eog,EOG,eegconformer,EEGConformer,RMSE,RMSE,0.0262886631134817,0.625212546880735,False,162,9,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
eog,EOG,eegconformer,EEGConformer,T_RRMSE,T-RRMSE,0.2465375610569426,0.6929047542657458,False,162,9,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
