run_id,analysis_family,analysis_role,classifier,recipe,base,n_subjects,n_subjects_for_inference,mean_delta_accuracy,bootstrap_ci95_low,bootstrap_ci95_high,primary_t_p_two_sided,bh_q_primary_t_two_sided_within_family,holm_p_primary_t_two_sided_within_family,bh_q_primary_t_two_sided_all_effects,primary_independent_unit,subjects,n_technical_repeats_used_as_sample_size,n_contamination_seed_pairs_min,n_contamination_seed_pairs_max,n_checkpoint_seeds_min,n_checkpoint_seeds_max,n_classifier_seeds_min,n_classifier_seeds_max,baseline_accuracy_subject_mean,processed_accuracy_subject_mean,median_delta_accuracy,sd_delta_accuracy_across_subjects,n_bootstrap_subject_resamples,subjects_below_noisy_noisy,subjects_above_noisy_noisy,wilcoxon_p_two_sided,wilcoxon_p_denoised_lt_noisy,wilcoxon_p_denoised_gt_noisy,statistical_note,primary_t_statistic,primary_t_df,primary_t_p_denoised_lt_noisy,primary_t_p_denoised_gt_noisy,cohen_dz_subject_paired,bh_q_wilcoxon_two_sided_within_family,recipe_label,row_order,row_label,mean_delta_accuracy_pp,bootstrap_ci95_low_pp,bootstrap_ci95_high_pp,source_file
hierarchical_downstream_stats_20260815_000000,exploratory_width_effects,exploratory_csp_width,csp_lda,eog,2,9,9,-0.1061750362556876,-0.1478842420316135,-0.0612050636189819,0.0020995428683115,0.0069565308554888,0.0209954286831158,0.0142403663811622,subject,A01 A02 A03 A04 A05 A06 A07 A08 A09,0,5,5,5,5,0,0,0.6085079336221217,0.502332897366434,-0.0950180505415162,0.0713522426169912,10000,8,1,0.0078125,0.00390625,0.998046875,Primary p-value uses n=9 subject-level deltas after nuisance aggregation; Wilcoxon is robustness only.,-4.464121898408442,8,0.0010497714341557,0.998950228565844,-1.488040632802814,0.0140625,EOG,0,CSP+LDA base2,-10.61750362556876,-14.788424203161348,-6.120506361898189,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_all_effects.csv
hierarchical_downstream_stats_20260815_000000,exploratory_width_effects,exploratory_csp_width,csp_lda,emg,2,9,9,-0.1245035719307871,-0.1659750970162114,-0.0820477824596905,0.0006332044613196,0.0069565308554888,0.0075984535358352,0.0142403663811622,subject,A01 A02 A03 A04 A05 A06 A07 A08 A09,0,5,5,5,5,0,0,0.6144867895074073,0.4899832175766201,-0.1160930232558139,0.068954068126545,10000,9,0,0.00390625,0.001953125,1.0,Primary p-value uses n=9 subject-level deltas after nuisance aggregation; Wilcoxon is robustness only.,-5.416804634454513,8,0.0003166022306598,0.9996833977693402,-1.8056015448181708,0.0140625,EMG,0,CSP+LDA base2,-12.450357193078709,-16.597509701621142,-8.204778245969049,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_all_effects.csv
hierarchical_downstream_stats_20260815_000000,exploratory_width_effects,exploratory_csp_width,csp_lda,eog_emg_line,2,9,9,-0.1123645618646557,-0.1609072730729338,-0.0609750760423484,0.0036415611424961,0.0072831222849923,0.0279515376037858,0.0142403663811622,subject,A01 A02 A03 A04 A05 A06 A07 A08 A09,0,5,5,5,5,0,0,0.6070747692994131,0.4947102074347574,-0.1204395604395604,0.0830609310363081,10000,8,1,0.01171875,0.005859375,0.99609375,Primary p-value uses n=9 subject-level deltas after nuisance aggregation; Wilcoxon is robustness only.,-4.0583904055519735,8,0.001820780571248,0.998179219428752,-1.352796801850658,0.0140625,EOG+EMG+LINE,0,CSP+LDA base2,-11.236456186465569,-16.090727307293378,-6.09750760423484,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_all_effects.csv
hierarchical_downstream_stats_20260815_000000,exploratory_width_effects,exploratory_csp_width,csp_lda,eog,4,9,9,-0.0773243182844084,-0.1169790772276115,-0.035860000904718,0.0079460935474341,0.0094960614014155,0.036270030891585,0.016554421526237,subject,A01 A02 A03 A04 A05 A06 A07 A08 A09,0,5,5,5,5,0,0,0.6085079336221217,0.5311836153377132,-0.0887719298245613,0.0660641230786676,10000,8,1,0.01171875,0.005859375,0.99609375,Primary p-value uses n=9 subject-level deltas after nuisance aggregation; Wilcoxon is robustness only.,-3.5113302658539416,8,0.003973046773717,0.9960269532262828,-1.1704434219513138,0.0140625,EOG,1,CSP+LDA base4,-7.73243182844084,-11.69790772276115,-3.5860000904717997,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_all_effects.csv
hierarchical_downstream_stats_20260815_000000,exploratory_width_effects,exploratory_csp_width,csp_lda,emg,4,9,9,-0.1110144268191444,-0.1581502600387486,-0.0656317746294104,0.0023188436184962,0.0069565308554888,0.0209954286831158,0.0142403663811622,subject,A01 A02 A03 A04 A05 A06 A07 A08 A09,0,5,5,5,5,0,0,0.6144867895074073,0.5034723626882629,-0.1017674418604651,0.0758712963730961,10000,8,1,0.0078125,0.00390625,0.998046875,Primary p-value uses n=9 subject-level deltas after nuisance aggregation; Wilcoxon is robustness only.,-4.389582047203954,8,0.0011594218092481,0.9988405781907518,-1.4631940157346517,0.0140625,EMG,1,CSP+LDA base4,-11.10144268191444,-15.815026003874861,-6.563177462941041,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_all_effects.csv
hierarchical_downstream_stats_20260815_000000,exploratory_width_effects,exploratory_csp_width,csp_lda,eog_emg_line,4,9,9,-0.1003939126889979,-0.1544661741381415,-0.0465181349469752,0.0087047229512976,0.0094960614014155,0.036270030891585,0.016554421526237,subject,A01 A02 A03 A04 A05 A06 A07 A08 A09,0,5,5,5,5,0,0,0.6070747692994131,0.5066808566104152,-0.0710697674418604,0.0873186645753822,10000,7,2,0.01953125,0.009765625,0.994140625,Primary p-value uses n=9 subject-level deltas after nuisance aggregation; Wilcoxon is robustness only.,-3.4492251975175763,8,0.0043523614756488,0.9956476385243512,-1.1497417325058588,0.01953125,EOG+EMG+LINE,1,CSP+LDA base4,-10.03939126889979,-15.44661741381415,-4.65181349469752,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_all_effects.csv
hierarchical_downstream_stats_20260815_000000,exploratory_width_effects,exploratory_csp_width,csp_lda,eog,6,9,9,-0.0672198523493026,-0.1043485916869086,-0.0298194414198814,0.0102385683027924,0.0102385683027924,0.036270030891585,0.018150189264041,subject,A01 A02 A03 A04 A05 A06 A07 A08 A09,0,5,5,5,5,0,0,0.6085079336221217,0.5412880812728191,-0.0717543859649122,0.0603859210037043,10000,8,1,0.01171875,0.005859375,0.99609375,Primary p-value uses n=9 subject-level deltas after nuisance aggregation; Wilcoxon is robustness only.,-3.3395128151732107,8,0.0051192841513962,0.9948807158486038,-1.1131709383910702,0.0140625,EOG,2,CSP+LDA base6,-6.721985234930259,-10.43485916869086,-2.98194414198814,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_all_effects.csv
hierarchical_downstream_stats_20260815_000000,exploratory_width_effects,exploratory_csp_width,csp_lda,emg,6,9,9,-0.1062617882551401,-0.1555483128258249,-0.0593751928758824,0.0034939422004732,0.0072831222849923,0.0279515376037858,0.0142403663811622,subject,A01 A02 A03 A04 A05 A06 A07 A08 A09,0,5,5,5,5,0,0,0.6144867895074073,0.5082250012522671,-0.0967441860465116,0.0779756207043081,10000,8,1,0.0078125,0.00390625,0.998046875,Primary p-value uses n=9 subject-level deltas after nuisance aggregation; Wilcoxon is robustness only.,-4.088269665390525,8,0.0017469711002366,0.9982530288997634,-1.3627565551301752,0.0140625,EMG,2,CSP+LDA base6,-10.62617882551401,-15.55483128258249,-5.93751928758824,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_all_effects.csv
hierarchical_downstream_stats_20260815_000000,exploratory_width_effects,exploratory_csp_width,csp_lda,eog_emg_line,6,9,9,-0.103928375336489,-0.1569031483963984,-0.051454804559448,0.0067762050029564,0.0094960614014155,0.036270030891585,0.016479139184463,subject,A01 A02 A03 A04 A05 A06 A07 A08 A09,0,5,5,5,5,0,0,0.6070747692994131,0.503146393962924,-0.08,0.086113018238002,10000,8,1,0.01171875,0.005859375,0.99609375,Primary p-value uses n=9 subject-level deltas after nuisance aggregation; Wilcoxon is robustness only.,-3.620650308037572,8,0.0033881025014782,0.9966118974985216,-1.206883436012524,0.0140625,EOG+EMG+LINE,2,CSP+LDA base6,-10.392837533648901,-15.690314839639841,-5.1454804559448,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_all_effects.csv
hierarchical_downstream_stats_20260815_000000,exploratory_width_effects,exploratory_csp_width,csp_lda,eog,8,9,9,-0.0649136004984992,-0.096822032701757,-0.0330844017586752,0.0060450051485975,0.0094960614014155,0.036270030891585,0.016479139184463,subject,A01 A02 A03 A04 A05 A06 A07 A08 A09,0,5,5,5,5,0,0,0.6085079336221217,0.5435943331236225,-0.0603663003663003,0.0526365722355884,10000,8,1,0.01171875,0.005859375,0.99609375,Primary p-value uses n=9 subject-level deltas after nuisance aggregation; Wilcoxon is robustness only.,-3.69972422641591,8,0.0030225025742987,0.9969774974257012,-1.2332414088053032,0.0140625,EOG,3,CSP+LDA base8,-6.49136004984992,-9.6822032701757,-3.3084401758675197,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_all_effects.csv
