row_order,row_label,dataset,classifier,recipe,base,subject,delta_accuracy_pp,n_contamination_seed_pairs,n_checkpoint_seeds,n_classifier_seeds,source_file,row_type,n_subjects,mean_delta_accuracy_pp,ci95_low_pp,ci95_high_pp
0,CSP+LDA â€” EOG,BCI_IV2b,csp_lda,eog,4,B01,2.33333333333333,5.0,3.0,0.0,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv,subject,,,,
0,CSP+LDA â€” EOG,BCI_IV2b,csp_lda,eog,4,B02,2.08333333333333,5.0,3.0,0.0,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv,subject,,,,
0,CSP+LDA â€” EOG,BCI_IV2b,csp_lda,eog,4,B03,3.45833333333333,5.0,3.0,0.0,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv,subject,,,,
0,CSP+LDA â€” EOG,BCI_IV2b,csp_lda,eog,4,B04,2.08333333333333,5.0,3.0,0.0,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv,subject,,,,
0,CSP+LDA â€” EOG,BCI_IV2b,csp_lda,eog,4,B05,3.58333333333333,5.0,3.0,0.0,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv,subject,,,,
0,CSP+LDA â€” EOG,BCI_IV2b,csp_lda,eog,4,B06,6.91666666666666,5.0,3.0,0.0,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv,subject,,,,
0,CSP+LDA â€” EOG,BCI_IV2b,csp_lda,eog,4,B07,20.29166666666666,5.0,3.0,0.0,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv,subject,,,,
0,CSP+LDA â€” EOG,BCI_IV2b,csp_lda,eog,4,B08,-5.54166666666666,5.0,3.0,0.0,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv,subject,,,,
0,CSP+LDA â€” EOG,BCI_IV2b,csp_lda,eog,4,B09,-10.66666666666666,5.0,3.0,0.0,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv,subject,,,,
1,CSP+LDA â€” EMG,BCI_IV2b,csp_lda,emg,4,B01,-4.625,5.0,3.0,0.0,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv,subject,,,,
1,CSP+LDA â€” EMG,BCI_IV2b,csp_lda,emg,4,B02,6.24999999999999,5.0,3.0,0.0,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv,subject,,,,
1,CSP+LDA â€” EMG,BCI_IV2b,csp_lda,emg,4,B03,0.04166666666666,5.0,3.0,0.0,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv,subject,,,,
1,CSP+LDA â€” EMG,BCI_IV2b,csp_lda,emg,4,B04,3.33333333333333,5.0,3.0,0.0,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv,subject,,,,
1,CSP+LDA â€” EMG,BCI_IV2b,csp_lda,emg,4,B05,-6.49999999999999,5.0,3.0,0.0,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv,subject,,,,
1,CSP+LDA â€” EMG,BCI_IV2b,csp_lda,emg,4,B06,1.9166666666666599,5.0,3.0,0.0,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv,subject,,,,
1,CSP+LDA â€” EMG,BCI_IV2b,csp_lda,emg,4,B07,5.5,5.0,3.0,0.0,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv,subject,,,,
1,CSP+LDA â€” EMG,BCI_IV2b,csp_lda,emg,4,B08,12.333333333333329,5.0,3.0,0.0,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv,subject,,,,
1,CSP+LDA â€” EMG,BCI_IV2b,csp_lda,emg,4,B09,-10.74999999999999,5.0,3.0,0.0,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv,subject,,,,
2,CSP+LDA â€” EOG+EMG+LINE,BCI_IV2b,csp_lda,eog_emg_line,16,B01,-4.0833333333333295,5.0,3.0,0.0,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv,subject,,,,
2,CSP+LDA â€” EOG+EMG+LINE,BCI_IV2b,csp_lda,eog_emg_line,16,B02,1.20833333333333,5.0,3.0,0.0,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv,subject,,,,
2,CSP+LDA â€” EOG+EMG+LINE,BCI_IV2b,csp_lda,eog_emg_line,16,B03,1.1666666666666599,5.0,3.0,0.0,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv,subject,,,,
2,CSP+LDA â€” EOG+EMG+LINE,BCI_IV2b,csp_lda,eog_emg_line,16,B04,1.875,5.0,3.0,0.0,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv,subject,,,,
