row_order,row_label,condition,stratum,base,subject,delta_accuracy_pp,n_checkpoints,train_seeds,source_file,row_type,n_subjects,mean_delta_accuracy_pp,ci95_low_pp,ci95_high_pp
0,All recorded trials,denoised_denoised,all,16,A01,-1.38888888888888,3.0,42 43 44,runs/a12_real_bci2a_eog_stratified_downstream_20260816_142449/a12_real_downstream_subject_aggregates.csv,subject,,,,
2,High-EOG / artifact-heavy trials,denoised_denoised,artifact_heavy_high_eog,16,A01,-5.08474576271186,3.0,42 43 44,runs/a12_real_bci2a_eog_stratified_downstream_20260816_142449/a12_real_downstream_subject_aggregates.csv,subject,,,,
1,Low-EOG / quiet trials,denoised_denoised,quiet_low_eog,16,A01,4.27350427350428,3.0,42 43 44,runs/a12_real_bci2a_eog_stratified_downstream_20260816_142449/a12_real_downstream_subject_aggregates.csv,subject,,,,
0,All recorded trials,denoised_denoised,all,16,A02,-12.26851851851852,3.0,42 43 44,runs/a12_real_bci2a_eog_stratified_downstream_20260816_142449/a12_real_downstream_subject_aggregates.csv,subject,,,,
2,High-EOG / artifact-heavy trials,denoised_denoised,artifact_heavy_high_eog,16,A02,-15.38461538461538,3.0,42 43 44,runs/a12_real_bci2a_eog_stratified_downstream_20260816_142449/a12_real_downstream_subject_aggregates.csv,subject,,,,
1,Low-EOG / quiet trials,denoised_denoised,quiet_low_eog,16,A02,-9.28961748633879,3.0,42 43 44,runs/a12_real_bci2a_eog_stratified_downstream_20260816_142449/a12_real_downstream_subject_aggregates.csv,subject,,,,
0,All recorded trials,denoised_denoised,all,16,A03,-3.00925925925926,3.0,42 43 44,runs/a12_real_bci2a_eog_stratified_downstream_20260816_142449/a12_real_downstream_subject_aggregates.csv,subject,,,,
2,High-EOG / artifact-heavy trials,denoised_denoised,artifact_heavy_high_eog,16,A03,-4.34782608695653,3.0,42 43 44,runs/a12_real_bci2a_eog_stratified_downstream_20260816_142449/a12_real_downstream_subject_aggregates.csv,subject,,,,
1,Low-EOG / quiet trials,denoised_denoised,quiet_low_eog,16,A03,-2.29007633587786,3.0,42 43 44,runs/a12_real_bci2a_eog_stratified_downstream_20260816_142449/a12_real_downstream_subject_aggregates.csv,subject,,,,
0,All recorded trials,denoised_denoised,all,16,A04,-8.796296296296289,3.0,42 43 44,runs/a12_real_bci2a_eog_stratified_downstream_20260816_142449/a12_real_downstream_subject_aggregates.csv,subject,,,,
2,High-EOG / artifact-heavy trials,denoised_denoised,artifact_heavy_high_eog,16,A04,-15.71815718157182,3.0,42 43 44,runs/a12_real_bci2a_eog_stratified_downstream_20260816_142449/a12_real_downstream_subject_aggregates.csv,subject,,,,
1,Low-EOG / quiet trials,denoised_denoised,quiet_low_eog,16,A04,-4.42176870748298,3.0,42 43 44,runs/a12_real_bci2a_eog_stratified_downstream_20260816_142449/a12_real_downstream_subject_aggregates.csv,subject,,,,
0,All recorded trials,denoised_denoised,all,16,A05,-9.60648148148148,3.0,42 43 44,runs/a12_real_bci2a_eog_stratified_downstream_20260816_142449/a12_real_downstream_subject_aggregates.csv,subject,,,,
2,High-EOG / artifact-heavy trials,denoised_denoised,artifact_heavy_high_eog,16,A05,8.888888888888879,3.0,42 43 44,runs/a12_real_bci2a_eog_stratified_downstream_20260816_142449/a12_real_downstream_subject_aggregates.csv,subject,,,,
1,Low-EOG / quiet trials,denoised_denoised,quiet_low_eog,16,A05,-32.996632996633004,3.0,42 43 44,runs/a12_real_bci2a_eog_stratified_downstream_20260816_142449/a12_real_downstream_subject_aggregates.csv,subject,,,,
0,All recorded trials,denoised_denoised,all,16,A06,0.69444444444444,3.0,42 43 44,runs/a12_real_bci2a_eog_stratified_downstream_20260816_142449/a12_real_downstream_subject_aggregates.csv,subject,,,,
2,High-EOG / artifact-heavy trials,denoised_denoised,artifact_heavy_high_eog,16,A06,-1.87265917602995,3.0,42 43 44,runs/a12_real_bci2a_eog_stratified_downstream_20260816_142449/a12_real_downstream_subject_aggregates.csv,subject,,,,
1,Low-EOG / quiet trials,denoised_denoised,quiet_low_eog,16,A06,-0.6060606060606,3.0,42 43 44,runs/a12_real_bci2a_eog_stratified_downstream_20260816_142449/a12_real_downstream_subject_aggregates.csv,subject,,,,
0,All recorded trials,denoised_denoised,all,16,A07,-4.74537037037037,3.0,42 43 44,runs/a12_real_bci2a_eog_stratified_downstream_20260816_142449/a12_real_downstream_subject_aggregates.csv,subject,,,,
