subject,recipe,domain_condition,base,n_contamination_seed_pairs,n_checkpoint_seeds,n_observations_averaged,raw_accuracy_mean,noisy_accuracy_mean,denoised_accuracy_mean,delta_accuracy,delta_accuracy_sd_over_nuisance,checkpoint_delta_sd_within_subject,contamination_delta_sd_within_subject,CC_mean,CC_sd_over_nuisance,RMSE_mean,RMSE_sd_over_nuisance,T_RRMSE_mean,T_RRMSE_sd_over_nuisance,S_RRMSE_mean,S_RRMSE_sd_over_nuisance,SDR_mean,SDR_sd_over_nuisance,delta_accuracy_pp,source_file
A01,eog,bci_adapted_single_channel,6,5,3,15,0.8185053380782918,0.7864768683274022,0.7169632265717675,-0.0695136417556346,0.0296790285028494,0.0065748073359672,0.0277640897311005,0.7912570357322692,0.0030456420566508,6.143974049886068,0.0643999813687271,0.6301834146181743,0.0063889754136269,0.5430498441060384,0.0287549645985927,4.0891947746276855,0.0908538458880561,-6.95136417556346,runs/a9_bci_domain_shift_single_channel_20260815_211702/a9_subject_domain_summary.csv
A01,eog,bci_adapted_single_channel,16,5,3,15,0.8185053380782918,0.7864768683274022,0.7176749703440095,-0.0688018979833926,0.0459625485253041,0.0201353474663997,0.0388663224802037,0.7628748655319214,0.0082043009173079,6.496328703562418,0.0903467673324966,0.6662276943524679,0.0088896047529361,0.5207295636336009,0.0343447414101482,3.620267963409424,0.1215114245956889,-6.88018979833926,runs/a9_bci_domain_shift_single_channel_20260815_211702/a9_subject_domain_summary.csv
A01,eog,zero_shot_external,6,5,3,15,0.8185053380782918,0.7864768683274022,0.6550415183867141,-0.131435349940688,0.030210707602565,0.0300313141732327,0.017421979481794,0.6867938796679179,0.0114189709691104,7.51145928700765,0.0840292933028635,0.7668408036231995,0.0079873802997987,0.6688041448593139,0.047618095197346,2.391934935251872,0.0936179239125208,-13.143534994068801,runs/a9_bci_domain_shift_single_channel_20260815_211702/a9_subject_domain_summary.csv
A01,eog,zero_shot_external,16,5,3,15,0.8185053380782918,0.7864768683274022,0.6984578884934757,-0.0880189798339264,0.0359278727511469,0.0324006320399831,0.0243886942562753,0.6992856343587239,0.0086287167122186,7.503599993387858,0.0437469654619637,0.7672589381535848,0.0046523537622574,0.6103267470995585,0.012381037816262,2.40051646232605,0.0502468671388509,-8.80189798339264,runs/a9_bci_domain_shift_single_channel_20260815_211702/a9_subject_domain_summary.csv
A02,eog,bci_adapted_single_channel,6,5,3,15,0.5724381625441696,0.5151943462897527,0.5020023557126031,-0.0131919905771495,0.026016649172329,0.0144890688477566,0.0167694640991419,0.8797650297482809,0.0098593897647018,6.468957646687826,0.3446178402143373,0.4969842771689097,0.0200176947231415,0.4780807534853617,0.0255567429896195,6.25083916982015,0.4094633021491279,-1.3191990577149502,runs/a9_bci_domain_shift_single_channel_20260815_211702/a9_subject_domain_summary.csv
A02,eog,bci_adapted_single_channel,16,5,3,15,0.5724381625441696,0.5151943462897527,0.495170789163722,-0.0200235571260306,0.0391588192559084,0.0132276986019943,0.0311965197600683,0.8733952283859253,0.0031220092667661,6.74790325164795,0.1522901545893494,0.517059075832367,0.0087893354000484,0.4594676852226257,0.022843610369675,5.943005434672037,0.1521052134032168,-2.00235571260306,runs/a9_bci_domain_shift_single_channel_20260815_211702/a9_subject_domain_summary.csv
A02,eog,zero_shot_external,6,5,3,15,0.5724381625441696,0.5151943462897527,0.3660777385159011,-0.1491166077738515,0.0239732719781583,0.0164377432503364,0.0155949241862554,0.5779533863067627,0.0068652899165757,11.988084157307943,0.0762400926877524,0.8659451325734456,0.0050474348991009,0.996326494216919,0.0121516398770005,1.32699503103892,0.0483345262883325,-14.91166077738515,runs/a9_bci_domain_shift_single_channel_20260815_211702/a9_subject_domain_summary.csv
A02,eog,zero_shot_external,16,5,3,15,0.5724381625441696,0.5151943462897527,0.3658421672555948,-0.1493521790341578,0.028937894255033,0.0243824789458162,0.0138216305410656,0.5714742382367451,0.0140820492236091,11.951257006327312,0.1176054612877862,0.8653430263201396,0.0075919882341538,1.0071232040723166,0.0255061521937383,1.3269625266393026,0.0736846780646235,-14.93521790341578,runs/a9_bci_domain_shift_single_channel_20260815_211702/a9_subject_domain_summary.csv
A03,eog,bci_adapted_single_channel,6,5,3,15,0.7619047619047619,0.7472527472527473,0.7382173382173383,-0.009035409035409,0.0186194822445632,0.0168551247147618,0.0063209665961146,0.8591309388478597,0.0020537223704107,5.665773232777913,0.0555425354893868,0.5303285559018452,0.0051577570074668,0.4469552377859751,0.0069627464387875,5.755926958719889,0.0815258977782501,-0.9035409035409,runs/a9_bci_domain_shift_single_channel_20260815_211702/a9_subject_domain_summary.csv
A03,eog,bci_adapted_single_channel,16,5,3,15,0.7619047619047619,0.7472527472527473,0.7340659340659341,-0.0131868131868131,0.0192239154515647,0.0038765586975305,0.012006856917157,0.8572027126948039,0.0028437686753347,5.740448506673177,0.0755728078667306,0.5370188991228739,0.0068576221072327,0.4536489168802897,0.008751487272953,5.630472532908121,0.0974099886541309,-1.31868131868131,runs/a9_bci_domain_shift_single_channel_20260815_211702/a9_subject_domain_summary.csv
A03,eog,zero_shot_external,6,5,3,15,0.7619047619047619,0.7472527472527473,0.6366300366300366,-0.1106227106227106,0.0449734002737492,0.0421293196844831,0.0192399729899173,0.6620162049929301,0.0057745057380976,8.616216150919596,0.0446734214786128,0.8020427028338114,0.0045902823740452,0.7473982652028401,0.0198754793341292,2.0123835166295367,0.0441854281165346,-11.06227106227106,runs/a9_bci_domain_shift_single_channel_20260815_211702/a9_subject_domain_summary.csv
A03,eog,zero_shot_external,16,5,3,15,0.7619047619047619,0.7472527472527473,0.6942612942612942,-0.052991452991453,0.0222754455095199,0.0160727547466709,0.0172805106849247,0.6598473827044169,0.0113668920553047,8.61048158009847,0.0778018100514192,0.8014767686525981,0.0071269419028171,0.7330983757972718,0.0185496824007954,2.011930012702942,0.0740245833536052,-5.2991452991453,runs/a9_bci_domain_shift_single_channel_20260815_211702/a9_subject_domain_summary.csv
A04,eog,bci_adapted_single_channel,6,5,3,15,0.5657894736842105,0.6078947368421053,0.5757309941520468,-0.0321637426900584,0.0371668860702451,0.023362554801682,0.0215116066806464,0.7479936838150024,0.0051786372893231,5.706396643320719,0.0537088065940576,0.6762587666511536,0.0064809456675797,0.5582248568534851,0.0166592567786235,3.498465569814046,0.0812325137545804,-3.2163742690058403,runs/a9_bci_domain_shift_single_channel_20260815_211702/a9_subject_domain_summary.csv
A04,eog,bci_adapted_single_channel,16,5,3,15,0.5657894736842105,0.6078947368421053,0.5140350877192983,-0.093859649122807,0.027330077246129,0.0140350877192982,0.0097745699710215,0.7439273436864217,0.0052708703613572,5.774033546447754,0.0676258476142138,0.6849244753519694,0.0080923866132764,0.534351772069931,0.0288497449756447,3.3953513622283937,0.1008882963921354,-9.3859649122807,runs/a9_bci_domain_shift_single_channel_20260815_211702/a9_subject_domain_summary.csv
A04,eog,zero_shot_external,6,5,3,15,0.5657894736842105,0.6078947368421053,0.531578947368421,-0.0763157894736842,0.0397442689203976,0.0357287927270461,0.0203473899680781,0.6906933625539143,0.0050652352464905,7.403397782643636,0.1083556755591674,0.8784257411956787,0.0132517838546472,0.9708818435668946,0.0255976637912076,1.316450254122416,0.1334331662580415,-7.6315789473684195,runs/a9_bci_domain_shift_single_channel_20260815_211702/a9_subject_domain_summary.csv
A04,eog,zero_shot_external,16,5,3,15,0.5657894736842105,0.6078947368421053,0.5473684210526316,-0.0605263157894736,0.0438659143394839,0.0277254046127703,0.0283979703153746,0.6880021254221599,0.0058205875902938,7.387263711293539,0.1044287105635945,0.8767777482668558,0.0125884704511715,0.9545029520988464,0.0220378723926432,1.328600271542867,0.1285149111447958,-6.05263157894736,runs/a9_bci_domain_shift_single_channel_20260815_211702/a9_subject_domain_summary.csv
A05,eog,bci_adapted_single_channel,6,5,3,15,0.2789855072463768,0.2666666666666666,0.3231884057971014,0.0565217391304347,0.0380939722086912,0.0226035854499742,0.0298213816438127,0.7947530110677083,0.0123043204252791,6.792590236663818,0.2352374906682001,0.6484054287274679,0.0225428918444284,0.6962054451306661,0.0673464991946582,3.823653777440389,0.3073023574567603,5.65217391304347,runs/a9_bci_domain_shift_single_channel_20260815_211702/a9_subject_domain_summary.csv
A05,eog,bci_adapted_single_channel,16,5,3,15,0.2789855072463768,0.2666666666666666,0.2801932367149758,0.0135265700483091,0.040979495734128,0.0158980508907288,0.0316715395860871,0.7838464260101319,0.0149011010733175,7.391860421498617,0.5033580068001514,0.7050289392471314,0.0481007246450716,0.7589790423711141,0.0996698612846547,3.143554282188416,0.5975183767990797,1.35265700483091,runs/a9_bci_domain_shift_single_channel_20260815_211702/a9_subject_domain_summary.csv
A05,eog,zero_shot_external,6,5,3,15,0.2789855072463768,0.2666666666666666,0.3,0.0333333333333333,0.0259181911598836,0.0204059823772879,0.018168201595306,0.4068834880987803,0.0206257426399918,9.979653358459473,0.1167100655046802,0.9526870131492616,0.0113261403372834,0.9817875305811564,0.0111628150444409,0.4340053121248881,0.1096903373641756,3.33333333333333,runs/a9_bci_domain_shift_single_channel_20260815_211702/a9_subject_domain_summary.csv
A05,eog,zero_shot_external,16,5,3,15,0.2789855072463768,0.2666666666666666,0.2850241545893719,0.0183574879227053,0.0315703875646227,0.0252100327983364,0.0180635312712504,0.4425497730573018,0.0136217642346733,9.95393803914388,0.104967726337714,0.9505229353904724,0.0103387815040098,0.9755119760831196,0.009163050187687,0.4595126350720723,0.1010808601337642,1.83574879227053,runs/a9_bci_domain_shift_single_channel_20260815_211702/a9_subject_domain_summary.csv
A06,eog,bci_adapted_single_channel,6,5,3,15,0.4465116279069767,0.4781395348837209,0.4403100775193798,-0.037829457364341,0.0301361440746039,0.0139638204641211,0.0283470894187906,0.7852965752283733,0.0038186225450105,7.547286415100098,0.0708824041594249,0.6339325904846191,0.0057142221850675,0.4760554790496826,0.0081207576493659,4.077145449320475,0.0754565135438293,-3.7829457364340997,runs/a9_bci_domain_shift_single_channel_20260815_211702/a9_subject_domain_summary.csv
A06,eog,bci_adapted_single_channel,16,5,3,15,0.4465116279069767,0.4781395348837209,0.4213953488372093,-0.0567441860465116,0.0360363290729959,0.0100620035594343,0.0355846885034289,0.7795358300209045,0.0041113949808763,7.741818237304687,0.0946436104872484,0.6501768112182618,0.0077368833527432,0.4716853439807892,0.009163455929348,3.871532201766968,0.0992340953289886,-5.67441860465116,runs/a9_bci_domain_shift_single_channel_20260815_211702/a9_subject_domain_summary.csv
