dataset,classifier,subject,recipe,base,n_contamination_seed_pairs,n_checkpoint_seeds,n_classifier_seeds,n_observations_averaged,raw_accuracy_mean,noisy_accuracy_mean,denoised_accuracy_mean,delta_accuracy,delta_accuracy_sd_over_nuisance,checkpoint_seed_delta_sd_within_subject,contamination_delta_sd_within_subject,classifier_seed_delta_sd_within_subject,row_order,row_label,delta_accuracy_pp,source_file
BCI_IV2b,csp_lda,B01,eog,4,5,3,0,15,0.75625,0.7675,0.7908333333333334,0.0233333333333333,0.0201094475546291,0.0056365621910286,0.0204866996148992,0.0,0,CSP+LDA EOG base4,2.33333333333333,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv
BCI_IV2b,csp_lda,B02,eog,4,5,3,0,15,0.5375,0.4987499999999999,0.5195833333333333,0.0208333333333333,0.0342054802765928,0.0104831213545076,0.0309709765569135,0.0,0,CSP+LDA EOG base4,2.08333333333333,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv
BCI_IV2b,csp_lda,B03,eog,4,5,3,0,15,0.49375,0.5025,0.5370833333333334,0.0345833333333333,0.0338116720477805,0.0090427226725877,0.0337409967415177,0.0,0,CSP+LDA EOG base4,3.45833333333333,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv
BCI_IV2b,csp_lda,B04,eog,4,5,3,0,15,0.95,0.95125,0.9720833333333332,0.0208333333333333,0.0084074088641818,0.0038188130791298,0.0075115651572166,0.0,0,CSP+LDA EOG base4,2.08333333333333,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv
BCI_IV2b,csp_lda,B05,eog,4,5,3,0,15,0.85625,0.65625,0.6920833333333334,0.0358333333333333,0.0152117983658674,0.0026020824993326,0.0146871306100121,0.0,0,CSP+LDA EOG base4,3.58333333333333,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv
BCI_IV2b,csp_lda,B06,eog,4,5,3,0,15,0.65625,0.5925,0.6616666666666666,0.0691666666666666,0.018819316317727,0.017062996024536,0.0079876206302836,0.0,0,CSP+LDA EOG base4,6.91666666666666,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv
BCI_IV2b,csp_lda,B07,eog,4,5,3,0,15,0.75625,0.44,0.6429166666666667,0.2029166666666666,0.0760663283557436,0.0490588507135393,0.0673242310266766,0.0,0,CSP+LDA EOG base4,20.29166666666666,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv
BCI_IV2b,csp_lda,B08,eog,4,5,3,0,15,0.76875,0.73,0.6745833333333333,-0.0554166666666666,0.0729200679478825,0.0414075274960161,0.0653947680968779,0.0,0,CSP+LDA EOG base4,-5.54166666666666,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv
BCI_IV2b,csp_lda,B09,eog,4,5,3,0,15,0.85625,0.83625,0.7295833333333334,-0.1066666666666666,0.0515640782586741,0.0394559353372003,0.0137720782341986,0.0,0,CSP+LDA EOG base4,-10.66666666666666,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv
BCI_IV2b,csp_lda,B01,emg,4,5,3,0,15,0.75625,0.755,0.70875,-0.04625,0.0343790582020092,0.0171846588560843,0.0318143486147017,0.0,1,CSP+LDA EMG base4,-4.625,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv
BCI_IV2b,csp_lda,B02,emg,4,5,3,0,15,0.5375,0.5025000000000001,0.565,0.0624999999999999,0.0256609068985712,0.0057282196186947,0.0245621377553158,0.0,1,CSP+LDA EMG base4,6.24999999999999,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv
BCI_IV2b,csp_lda,B03,emg,4,5,3,0,15,0.49375,0.54375,0.5441666666666667,0.0004166666666666,0.0447878597496283,0.0061661035778953,0.0428832798937353,0.0,1,CSP+LDA EMG base4,0.04166666666666,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv
BCI_IV2b,csp_lda,B04,emg,4,5,3,0,15,0.95,0.92625,0.9595833333333332,0.0333333333333333,0.0156101119546944,0.0036084391824351,0.0155204837768243,0.0,1,CSP+LDA EMG base4,3.33333333333333,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv
BCI_IV2b,csp_lda,B05,emg,4,5,3,0,15,0.85625,0.72625,0.66125,-0.0649999999999999,0.0385131007395071,0.0153602571593056,0.0301687959653679,0.0,1,CSP+LDA EMG base4,-6.49999999999999,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv
BCI_IV2b,csp_lda,B06,emg,4,5,3,0,15,0.65625,0.61375,0.6329166666666667,0.0191666666666666,0.0329422745477745,0.0085085741069425,0.0316090484583836,0.0,1,CSP+LDA EMG base4,1.9166666666666599,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv
BCI_IV2b,csp_lda,B07,emg,4,5,3,0,15,0.75625,0.5575,0.6125,0.055,0.0633953721835097,0.0086602540378443,0.0676778777658467,0.0,1,CSP+LDA EMG base4,5.5,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv
BCI_IV2b,csp_lda,B08,emg,4,5,3,0,15,0.76875,0.66,0.7833333333333333,0.1233333333333333,0.0207916249164577,0.0130104124966633,0.0175791859247741,0.0,1,CSP+LDA EMG base4,12.333333333333329,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv
BCI_IV2b,csp_lda,B09,emg,4,5,3,0,15,0.85625,0.8475,0.74,-0.1074999999999999,0.0535669640996868,0.00125,0.0550725531559152,0.0,1,CSP+LDA EMG base4,-10.74999999999999,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv
BCI_IV2b,csp_lda,B01,eog_emg_line,16,5,3,0,15,0.75625,0.76,0.7191666666666666,-0.0408333333333333,0.0297746996306467,0.0125830573921179,0.0229450581704305,0.0,2,CSP+LDA EOG+EMG+LINE base16,-4.0833333333333295,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv
BCI_IV2b,csp_lda,B02,eog_emg_line,16,5,3,0,15,0.5375,0.52125,0.5333333333333333,0.0120833333333333,0.0715917035962235,0.0126449924212446,0.0735006377523351,0.0,2,CSP+LDA EOG+EMG+LINE base16,1.20833333333333,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv
BCI_IV2b,csp_lda,B03,eog_emg_line,16,5,3,0,15,0.49375,0.5275,0.5391666666666667,0.0116666666666666,0.0254278858923108,0.0132484275796538,0.0181978898349353,0.0,2,CSP+LDA EOG+EMG+LINE base16,1.1666666666666599,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv
BCI_IV2b,csp_lda,B04,eog_emg_line,16,5,3,0,15,0.95,0.92125,0.94,0.01875,0.0186005952285711,0.0086602540378444,0.0174304172194599,0.0,2,CSP+LDA EOG+EMG+LINE base16,1.875,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv
BCI_IV2b,csp_lda,B05,eog_emg_line,16,5,3,0,15,0.85625,0.705,0.6616666666666666,-0.0433333333333333,0.0385613688380828,0.013938107236398,0.0363957796698707,0.0,2,CSP+LDA EOG+EMG+LINE base16,-4.33333333333333,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv
BCI_IV2b,csp_lda,B06,eog_emg_line,16,5,3,0,15,0.65625,0.64125,0.6458333333333334,0.0045833333333333,0.0240287526180813,0.0158278499276854,0.0132909482564471,0.0,2,CSP+LDA EOG+EMG+LINE base16,0.45833333333333004,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv
BCI_IV2b,csp_lda,B07,eog_emg_line,16,5,3,0,15,0.75625,0.59625,0.5895833333333333,-0.0066666666666666,0.06522910630634,0.0093819418743314,0.0696656200080865,0.0,2,CSP+LDA EOG+EMG+LINE base16,-0.6666666666666601,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv
BCI_IV2b,csp_lda,B08,eog_emg_line,16,5,3,0,15,0.76875,0.6775,0.75375,0.0762499999999999,0.0349744804924145,0.0076034531628727,0.0353123463615143,0.0,2,CSP+LDA EOG+EMG+LINE base16,7.62499999999999,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv
BCI_IV2b,csp_lda,B09,eog_emg_line,16,5,3,0,15,0.85625,0.85625,0.71875,-0.1374999999999999,0.049607837082461,0.0309485460078498,0.0294259310246365,0.0,2,CSP+LDA EOG+EMG+LINE base16,-13.74999999999999,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv
BCI_IV2b,eegnet,B01,eog,6,5,3,3,45,0.63125,0.6120833333333333,0.71125,0.0991666666666666,0.0635368540154595,0.0058333333333333,0.0186235447687352,0.0698075230743633,3,EEGNet EOG base6,9.916666666666659,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv
BCI_IV2b,eegnet,B02,eog,6,5,3,3,45,0.4645833333333333,0.4804166666666666,0.4856944444444444,0.0052777777777777,0.0357289043854672,0.0093757715731875,0.0142792368471943,0.013909013198216,3,EEGNet EOG base6,0.52777777777777,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv
BCI_IV2b,eegnet,B03,eog,6,5,3,3,45,0.6270833333333333,0.5691666666666667,0.53,-0.0391666666666666,0.0635340594055303,0.0124233762632296,0.0136224442613769,0.0694709671573512,3,EEGNet EOG base6,-3.91666666666666,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv
BCI_IV2b,eegnet,B04,eog,6,5,3,3,45,0.97125,0.9191666666666668,0.94875,0.0295833333333333,0.0312329498941567,0.0135208172829899,0.0178446550250477,0.0245692049796759,3,EEGNet EOG base6,2.95833333333333,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv
BCI_IV2b,eegnet,B05,eog,6,5,3,3,45,0.5958333333333333,0.53625,0.51,-0.02625,0.0300803847291643,0.0118804811911527,0.0114677991204357,0.01551768704128,3,EEGNet EOG base6,-2.625,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv
BCI_IV2b,eegnet,B06,eog,6,5,3,3,45,0.63125,0.5770833333333333,0.58,0.0029166666666666,0.0329804952688982,0.0145117289727233,0.0154457308616928,0.0185732409066855,3,EEGNet EOG base6,0.29166666666666,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv
BCI_IV2b,eegnet,B07,eog,6,5,3,3,45,0.8,0.7104166666666667,0.58875,-0.1216666666666666,0.0568559533542282,0.0426366267948631,0.0181846347600941,0.0280283834314035,3,EEGNet EOG base6,-12.16666666666666,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv
BCI_IV2b,eegnet,B08,eog,6,5,3,3,45,0.8225,0.7991666666666667,0.7873611111111111,-0.0118055555555555,0.0350583478293722,0.0268623462889627,0.0149103545510999,0.0162250520743329,3,EEGNet EOG base6,-1.18055555555555,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv
BCI_IV2b,eegnet,B09,eog,6,5,3,3,45,0.5520833333333334,0.5016666666666667,0.5573611111111111,0.0556944444444444,0.0363903587103879,0.0039381796885438,0.0260550891334703,0.0033678765702728,3,EEGNet EOG base6,5.56944444444444,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv
BCI_IV2b,eegnet,B01,emg,6,5,3,3,45,0.63125,0.63,0.67875,0.0487499999999999,0.0579080138511226,0.0029166666666666,0.0307420131653213,0.0259239003838371,4,EEGNet EMG base6,4.874999999999989,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv
BCI_IV2b,eegnet,B02,emg,6,5,3,3,45,0.4645833333333333,0.4941666666666667,0.5519444444444445,0.0577777777777777,0.0503742308260198,0.0120353453227166,0.0419015371046027,0.0168754286639656,4,EEGNet EMG base6,5.77777777777777,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv
BCI_IV2b,eegnet,B03,emg,6,5,3,3,45,0.6270833333333333,0.5925,0.5123611111111112,-0.0801388888888889,0.0523470595780187,0.0147333553292947,0.0369904944830258,0.022868636536467,4,EEGNet EMG base6,-8.01388888888889,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv
BCI_IV2b,eegnet,B04,emg,6,5,3,3,45,0.9716666666666668,0.8933333333333333,0.9452777777777778,0.0519444444444444,0.0596334420574241,0.0034694433324435,0.038104059721819,0.0547917986901662,4,EEGNet EMG base6,5.194444444444439,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv
BCI_IV2b,eegnet,B05,emg,6,5,3,3,45,0.5958333333333333,0.5404166666666667,0.5095833333333334,-0.0308333333333333,0.0579509245749445,0.0184983107336859,0.0543413316369232,0.0095470326978246,4,EEGNet EMG base6,-3.08333333333333,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv
BCI_IV2b,eegnet,B06,emg,6,5,3,3,45,0.63125,0.565,0.6231944444444444,0.0581944444444444,0.0321136957865442,0.006876052108048,0.0107739648180804,0.0060428638660575,4,EEGNet EMG base6,5.81944444444444,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv
BCI_IV2b,eegnet,B07,emg,6,5,3,3,45,0.8,0.7695833333333334,0.6597222222222222,-0.1098611111111111,0.0487683693700138,0.0092827248952816,0.0421196442175423,0.0182399769533642,4,EEGNet EMG base6,-10.98611111111111,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv
BCI_IV2b,eegnet,B08,emg,6,5,3,3,45,0.8200000000000001,0.7766666666666667,0.7865277777777778,0.009861111111111,0.0266330576558721,0.0089591407904833,0.0151063615901986,0.0088027510430504,4,EEGNet EMG base6,0.9861111111111,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv
BCI_IV2b,eegnet,B09,emg,6,5,3,3,45,0.5520833333333334,0.5279166666666667,0.6101388888888889,0.0822222222222222,0.049821334827967,0.0121929890298269,0.0258749291762613,0.0407020281139968,4,EEGNet EMG base6,8.22222222222222,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv
BCI_IV2b,eegnet,B01,eog_emg_line,6,5,3,3,45,0.63125,0.63875,0.6658333333333333,0.0270833333333333,0.0773656276450278,0.0011023963796102,0.0549577208429071,0.0529166666666666,5,EEGNet EOG+EMG+LINE base6,2.70833333333333,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv
