panel,condition_label,condition,denoiser_label,display_label,model_order,n_subjects,n_rows,n_checkpoint_seeds,n_contamination_pairs,mean_delta_balanced_accuracy,median_delta_balanced_accuracy,subject_sd,ci95_low,ci95_high,subjects_below_reference,wilcoxon_p_less,bh_fdr_q
A,Synthetic EOG,denoised_denoised,base2,base2,0,75,1875,5,5,-0.0566906851550331,-0.0504727523007778,0.055381354657138,-0.0694550090846815,-0.0443795163165713,68,1.0348018448477489e-11,3.4594983464407644e-11
A,Synthetic EOG,denoised_denoised,base4,base4,1,75,1875,5,5,-0.0634056121461694,-0.0544251177727842,0.0599117030895019,-0.0769672887618251,-0.0502910831561414,66,9.682453131259174e-13,5.8094718787555035e-12
A,Synthetic EOG,denoised_denoised,base6,base6,2,75,1875,5,5,-0.0535516813532284,-0.0448050157327003,0.0568652177022955,-0.0666718613868952,-0.0411913412607482,65,1.6515915203693218e-11,4.2469496238068276e-11
A,Synthetic EOG,denoised_denoised,base8,base8,3,75,1875,5,5,-0.0554836505699555,-0.0488555012944155,0.0585436611510104,-0.0687943129479424,-0.0426375671388464,64,1.1531661154802548e-11,3.4594983464407644e-11
A,Synthetic EOG,denoised_denoised,base16,base16,4,75,1875,5,5,-0.0499829459095794,-0.0418388445580859,0.0567578213950042,-0.0629180734249841,-0.0378059112055626,62,2.3958840752391166e-10,5.390739169288014e-10
A,Synthetic EOG,denoised_denoised,EEGDN_CNN,EEGDN CNN,5,75,1125,3,5,-0.0608344768274161,-0.0537806676338661,0.053426174939141,-0.0732615513359459,-0.0493883214841236,72,1.2505086188665898e-13,2.2509155139598616e-12
A,Synthetic EOG,denoised_denoised,EEGDN_RNN,EEGDN RNN,6,75,1125,3,5,-0.0354617539501574,-0.0453002715688814,0.0490207828088869,-0.0462761300993413,-0.0243212737734905,62,3.705977565719858e-08,4.1692247614348414e-08
A,Synthetic EOG,denoised_denoised,MicroWaveNet,MicroWaveNet,7,75,1125,3,5,-0.0719349783273444,-0.0687044921202395,0.0548645006459196,-0.0842986876211003,-0.0593812521568694,68,6.13270458941757e-13,5.519434130475813e-12
A,Synthetic EOG,denoised_denoised,DeepSeparator,DeepSeparator,8,75,1125,3,5,-0.020341585466158,-0.0180733037968462,0.0291695612808885,-0.0270027288067929,-0.0140224985401045,57,6.821347828017583e-08,7.222603582606853e-08
B,Unmodified recording,real_denoised_denoised,base2,base2,0,75,375,5,0,-0.0712731534931672,-0.0672413966832784,0.0897251236261737,-0.0917358051175182,-0.051397298777744,59,7.306879538503179e-09,1.0117217822542864e-08
B,Unmodified recording,real_denoised_denoised,base4,base4,1,75,375,5,0,-0.0771957799757328,-0.0714830292751384,0.0982952677172418,-0.0986171052574083,-0.0553670288975201,61,1.6126673476957553e-08,1.9352008172349066e-08
B,Unmodified recording,real_denoised_denoised,base6,base6,2,75,375,5,0,-0.0744398925842772,-0.0680306990441167,0.091944010174451,-0.0949954763197595,-0.0540685385939551,60,5.885802271351247e-09,9.631312807665675e-09
B,Unmodified recording,real_denoised_denoised,base8,base8,3,75,375,5,0,-0.0759850857905028,-0.0594347003758767,0.0932580832098185,-0.0968484645057306,-0.0554946220498583,61,4.31144484049238e-09,7.760600712886284e-09
B,Unmodified recording,real_denoised_denoised,base16,base16,4,75,375,5,0,-0.0743513331722401,-0.0629633681505108,0.094278932097215,-0.0961054782288583,-0.0528969988430564,64,4.1786853533519306e-09,7.760600712886284e-09
B,Unmodified recording,real_denoised_denoised,EEGDN_CNN,EEGDN CNN,5,75,225,3,0,-0.0543849832841362,-0.0455283740100143,0.0821474527285461,-0.0724123069773846,-0.0356870902629683,62,6.458483211246413e-09,9.687724816869621e-09
B,Unmodified recording,real_denoised_denoised,EEGDN_RNN,EEGDN RNN,6,75,225,3,0,-0.0426697592855688,-0.0519298066573709,0.0716296399481213,-0.0579629650158421,-0.0256711127475199,63,1.2286663451538222e-08,1.5797138723406285e-08
B,Unmodified recording,real_denoised_denoised,MicroWaveNet,MicroWaveNet,7,75,225,3,0,-0.0953747199696731,-0.0709623857471974,0.091373782925039,-0.115958107066007,-0.0748846282689898,66,5.7836364368517006e-12,2.6026363965832656e-11
B,Unmodified recording,real_denoised_denoised,DeepSeparator,DeepSeparator,8,75,225,3,0,-0.0234823474403842,-0.0202470628032498,0.0446001145214922,-0.0334734070062455,-0.0133574309399681,54,6.147192046830925e-06,6.147192046830925e-06
