denoiser_label,display_label,model_order,metric,metric_label,metric_order,orientation,n_subjects_with_slope,mean_subject_slope,oriented_mean_subject_slope,oriented_slope_ci95_low,oriented_slope_ci95_high,wilcoxon_p_two_sided,bh_fdr_q,pooled_subject_demeaned_pearson_r_descriptive,pooled_subject_demeaned_spearman_r_descriptive
base2,base2,0,CC,CC,0,higher_is_better,75,0.0502768581552816,0.0502768581552816,-0.1113921332137078,0.2149123836051503,0.6048109602197338,0.697858800253539,0.0473921075552325,0.0743284911014374
base2,base2,0,RMSE,RMSE,1,lower_is_better,75,-0.0199307023590615,0.0199307023590615,-0.0081667151810232,0.0481627712037991,0.3157133413740262,0.4582935600590703,-0.0606878877452465,-0.0619752628836303
base2,base2,0,T_RRMSE,T-RRMSE,2,lower_is_better,75,-0.1425112311625006,0.1425112311625006,-0.1836768418226732,0.4755703333908673,0.6459408866817284,0.725684067698007,-0.0697905846416365,-0.0567659513334831
base2,base2,0,S_RRMSE,S-RRMSE,3,lower_is_better,75,-0.094609683840403,0.094609683840403,-0.1313045051773709,0.319325944380351,0.4191336479794468,0.5894066924710971,-0.0383957941223357,-0.0329521810218395
base2,base2,0,SDR,SDR,4,higher_is_better,75,0.0089720819319819,0.0089720819319819,-0.0260763696333058,0.044328317649202,0.8866258160700751,0.927864226119846,0.057009797914637,0.0489937936480124
base4,base4,1,CC,CC,0,higher_is_better,75,-0.2587580212528416,-0.2587580212528416,-0.5322349077342697,0.0079742871957206,0.0701051035647599,0.1166652217505392,0.0350396065137099,-0.0207705579436253
base4,base4,1,RMSE,RMSE,1,lower_is_better,75,0.0071463731058511,-0.0071463731058511,-0.0441970712779896,0.0258912633117349,0.9536800264387418,0.9536800264387418,0.0432495256993847,0.0152782591154358
base4,base4,1,T_RRMSE,T-RRMSE,2,lower_is_better,75,0.0348770080433045,-0.0348770080433045,-0.4804894665409747,0.3938265955580129,0.9242750944519588,0.9452813465985944,0.0087850454951437,0.0103812057262096
base4,base4,1,S_RRMSE,S-RRMSE,3,lower_is_better,75,0.1092633526558664,-0.1092633526558664,-0.3120387340514378,0.1381669503868355,0.0128773894206858,0.0231793009572345,0.0969348940682489,0.1074468104666483
base4,base4,1,SDR,SDR,4,higher_is_better,75,-0.0042308687088106,-0.0042308687088106,-0.0495402933418487,0.0423911910245692,0.8741284518232786,0.927864226119846,-0.0075093696897606,-0.0157877470400702
base6,base6,2,CC,CC,0,higher_is_better,75,-0.3967024377257607,-0.3967024377257607,-0.5706323037207469,-0.2331638981818992,4.1725381246008976e-05,0.000205654496892,-0.1358973873975362,-0.1873840142176751
base6,base6,2,RMSE,RMSE,1,lower_is_better,75,0.0775594597297234,-0.0775594597297234,-0.1283664137397928,-0.0293064464107449,0.0069681092010956,0.0142529506386046,0.0327898792167807,0.1344135805194184
base6,base6,2,T_RRMSE,T-RRMSE,2,lower_is_better,75,0.9174012097900384,-0.9174012097900384,-1.6287639468078028,-0.2539243559211962,0.0024800985110111,0.0062002462775277,0.0488736594173287,0.1172715653857279
base6,base6,2,S_RRMSE,S-RRMSE,3,lower_is_better,75,0.2642952223809237,-0.2642952223809237,-0.4167597033262344,-0.1047394503887532,4.57009993093382e-05,0.000205654496892,0.1717408297386433,0.2073855943639023
base6,base6,2,SDR,SDR,4,higher_is_better,75,-0.0915516862248015,-0.0915516862248015,-0.1537188097241302,-0.0288920807432197,0.0013995838079076,0.0037047806679908,-0.0689725865894451,-0.1305428357526288
base8,base8,3,CC,CC,0,higher_is_better,75,0.0645757279523758,0.0645757279523758,-0.1213146967451287,0.2802530502154398,0.5507057429508215,0.6731930711104093,0.0041366583895163,-0.0318759548802716
base8,base8,3,RMSE,RMSE,1,lower_is_better,75,-0.0288113716590338,0.0288113716590338,0.0005434903706902,0.0582007015761254,0.1016361924342884,0.1524542886514326,-0.0074662082352675,-0.035022418340538
base8,base8,3,T_RRMSE,T-RRMSE,2,lower_is_better,75,-0.4074622102002685,0.4074622102002685,0.0405548277257936,0.8206562613094144,0.0725916935336688,0.1166652217505392,-0.0507402488933893,-0.0502473902783687
base8,base8,3,S_RRMSE,S-RRMSE,3,lower_is_better,75,-0.0434217921859904,0.0434217921859904,-0.163365402472842,0.2762489709826441,0.489092493224454,0.651726095473923,0.0003071589569544,0.0057151522460877
base8,base8,3,SDR,SDR,4,higher_is_better,75,0.0396622586510898,0.0396622586510898,0.0010928799624443,0.0802901601675787,0.0910703998546557,0.1413161377055003,0.0496965992866567,0.0393099949255096
base16,base16,4,CC,CC,0,higher_is_better,75,-0.4239584468032526,-0.4239584468032526,-0.5694167549795232,-0.2797005104944139,3.572020117179153e-07,2.296298646758026e-06,-0.2941195589685036,-0.3359607348226089
base16,base16,4,RMSE,RMSE,1,lower_is_better,75,0.0611100973502933,-0.0611100973502933,-0.1048667558530514,-0.0186864410596757,0.0033248548313546,0.007480923370548,0.114236011704233,0.1742500881778028
base16,base16,4,T_RRMSE,T-RRMSE,2,lower_is_better,75,0.5219182153753736,-0.5219182153753736,-1.018776068891211,0.0176122771277508,0.0028991451470863,0.0068663964009939,0.1191761564355931,0.1658930097189005
base16,base16,4,S_RRMSE,S-RRMSE,3,lower_is_better,75,0.2408687018372979,-0.2408687018372979,-0.3270996281482263,-0.1498427519080334,2.0354793586518438e-07,1.5266095189888823e-06,0.2380101030545433,0.3099995239536423
base16,base16,4,SDR,SDR,4,higher_is_better,75,-0.067996143127707,-0.067996143127707,-0.1164144060756782,-0.0142555568634018,0.0005754630482354,0.0016184898231621,-0.1512126158546501,-0.2068441303165526
EEGDN_CNN,EEGDN CNN,5,CC,CC,0,higher_is_better,75,0.2309532914236396,0.2309532914236396,-1.0864737882674076,1.6434881086890112,0.568474148937679,0.6731930711104093,0.0213540776231156,0.0055720392997182
EEGDN_CNN,EEGDN CNN,5,RMSE,RMSE,1,lower_is_better,75,-0.0541036948504043,0.0541036948504043,-0.0532575419557234,0.1643331164297116,0.5542374602282161,0.6731930711104093,-0.0689951796263413,-0.030762994445455
EEGDN_CNN,EEGDN CNN,5,T_RRMSE,T-RRMSE,2,lower_is_better,75,-0.9055074737152956,0.9055074737152956,-0.7691200454444348,2.740915050585196,0.4924152721358529,0.651726095473923,-0.0407737344002654,-0.0267841234084986
EEGDN_CNN,EEGDN CNN,5,S_RRMSE,S-RRMSE,3,lower_is_better,75,0.2979896148616061,-0.2979896148616061,-1.3683972952821284,0.5817530764830164,0.661178817235962,0.725684067698007,-0.163715470078752,-0.0259361031923119
EEGDN_CNN,EEGDN CNN,5,SDR,SDR,4,higher_is_better,75,0.1052156214489399,0.1052156214489399,-0.0896774532446325,0.3092890711574194,0.5471851363055937,0.6731930711104093,0.0425158159543085,0.0237550151809173
EEGDN_RNN,EEGDN RNN,6,CC,CC,0,higher_is_better,75,1.1442934629218455,1.1442934629218455,0.8027490914007411,1.4961211738865774,2.2646238864377042e-09,3.3969358296565564e-08,0.3189992588640778,0.3426488592808717
EEGDN_RNN,EEGDN RNN,6,RMSE,RMSE,1,lower_is_better,75,-0.2944209919635077,0.2944209919635077,0.194477019418338,0.4003647166863407,3.0281423175952803e-09,3.4066601072946906e-08,-0.316065236792263,-0.3408229365906337
EEGDN_RNN,EEGDN RNN,6,T_RRMSE,T-RRMSE,2,lower_is_better,75,-3.045936022077948,3.045936022077948,2.0462914500893343,4.100097081243183,1.803823998502207e-09,3.3969358296565564e-08,-0.3073147152758638,-0.3398909223349599
EEGDN_RNN,EEGDN RNN,6,S_RRMSE,S-RRMSE,3,lower_is_better,75,-2.522410214205594,2.522410214205594,1.6061508820403432,3.486138965459204,3.913209772771342e-09,3.5218887954942086e-08,-0.2922156635866705,-0.3394099109210506
EEGDN_RNN,EEGDN RNN,6,SDR,SDR,4,higher_is_better,75,0.3260616554245037,0.3260616554245037,0.2197425971435424,0.4441967840118693,1.988880809888067e-09,3.3969358296565564e-08,0.3055808727956084,0.3394896565664907
MicroWaveNet,MicroWaveNet,7,CC,CC,0,higher_is_better,75,0.4287438368792345,0.4287438368792345,0.2692233575049573,0.5974255381967499,2.538956727063043e-06,1.4281631589729615e-05,0.2537942383366701,0.3130552180847814
MicroWaveNet,MicroWaveNet,7,RMSE,RMSE,1,lower_is_better,75,-0.0819147005759997,0.0819147005759997,0.042449479078315,0.1223474366039687,0.0001133466489786,0.0004250499336699,-0.2260539844055635,-0.2399221422265485
MicroWaveNet,MicroWaveNet,7,T_RRMSE,T-RRMSE,2,lower_is_better,75,-0.9237807693562377,0.9237807693562377,0.5010943139122128,1.3533241669008949,0.0002097696077984,0.0006742594536378,-0.2591704257216292,-0.2390109247822944
MicroWaveNet,MicroWaveNet,7,S_RRMSE,S-RRMSE,3,lower_is_better,75,-0.2020427404567237,0.2020427404567237,0.0717247565983736,0.3252374607425761,0.0001889469894639,0.0006540472712213,-0.2674924691624283,-0.2801380589074375
MicroWaveNet,MicroWaveNet,7,SDR,SDR,4,higher_is_better,75,0.088418130449381,0.088418130449381,0.0496411420279281,0.128713241646784,9.119710250757993e-05,0.0003730790557128,0.2723979243209638,0.2818334081317463
DeepSeparator,DeepSeparator,8,CC,CC,0,higher_is_better,75,-0.2162088617072093,-0.2162088617072093,-0.3308493550661637,-0.1087228698623187,0.0005643284767904,0.0016184898231621,-0.195004479918206,-0.2094037829034004
DeepSeparator,DeepSeparator,8,RMSE,RMSE,1,lower_is_better,75,0.0196394049337721,-0.0196394049337721,-0.0323365108375825,-0.0072378883409699,0.0062318063900259,0.0133538708357698,0.048240379685854,0.1651941956431504
DeepSeparator,DeepSeparator,8,T_RRMSE,T-RRMSE,2,lower_is_better,75,0.2783868865067203,-0.2783868865067203,-0.4482872270256732,-0.11426142093818,0.0093759223156087,0.0183441958348865,0.1050961557442337,0.1762803402379643
DeepSeparator,DeepSeparator,8,S_RRMSE,S-RRMSE,3,lower_is_better,75,0.1053362738752368,-0.1053362738752368,-0.1830068307970558,-0.0291741087659681,0.0140704834629535,0.0243527598397273,0.0752020626099525,0.1015744497049149
DeepSeparator,DeepSeparator,8,SDR,SDR,4,higher_is_better,75,-0.0275760082087405,-0.0275760082087405,-0.045327044710649,-0.0101329525670263,0.0110869006519658,0.0207879387224359,-0.0984287090594799,-0.1690312994485987
