recipe,contamination_geometry,base,n_subjects,subjects,n_contamination_seed_pairs,n_checkpoint_seeds,baseline_accuracy_subject_mean,denoised_accuracy_subject_mean,mean_delta_accuracy,median_delta_accuracy,sd_delta_accuracy_across_subjects,bootstrap_ci95_low,bootstrap_ci95_high,n_bootstrap_subject_resamples,subjects_below_noisy_noisy,subjects_above_noisy_noisy,wilcoxon_p_denoised_lt_noisy,wilcoxon_p_denoised_gt_noisy,wilcoxon_p_two_sided,bh_fdr_q_denoised_lt_noisy,holm_p_denoised_lt_noisy
eog,simple_equal_scaling,2,9,A01 A02 A03 A04 A05 A06 A07 A08 A09,5,3,0.6085079336221217,0.4934330377166123,-0.11507489590550943,-0.11266912669126693,0.07618066337706217,-0.1603452817913976,-0.06705331941558502,10000,8,1,0.00390625,0.998046875,0.0078125,0.009765625,0.03515625
eog,simple_equal_scaling,4,9,A01 A02 A03 A04 A05 A06 A07 A08 A09,5,3,0.6085079336221217,0.5272469328292653,-0.08126100079285649,-0.10701754385964912,0.07193465070066025,-0.12366592608364357,-0.03547728177083957,10000,7,2,0.009765625,0.994140625,0.01953125,0.009765625,0.05859375
eog,simple_equal_scaling,6,9,A01 A02 A03 A04 A05 A06 A07 A08 A09,5,3,0.6085079336221217,0.5335135871687515,-0.07499434645337019,-0.0801169590643275,0.06355752290264248,-0.11319162830075251,-0.03509814743763817,10000,8,1,0.009765625,0.994140625,0.01953125,0.009765625,0.05859375
eog,simple_equal_scaling,8,9,A01 A02 A03 A04 A05 A06 A07 A08 A09,5,3,0.6085079336221217,0.5370767447929534,-0.07143118882916827,-0.0595848595848596,0.05639351763440794,-0.10565860613238719,-0.03699231681475849,10000,8,1,0.00390625,0.998046875,0.0078125,0.009765625,0.03515625
eog,simple_equal_scaling,16,9,A01 A02 A03 A04 A05 A06 A07 A08 A09,5,3,0.6085079336221217,0.545465018936674,-0.06304291468544776,-0.053235653235653255,0.05224488787381236,-0.09562329545285973,-0.032000645554209915,10000,8,1,0.00390625,0.998046875,0.0078125,0.009765625,0.03515625
eog,train_projection,2,9,A01 A02 A03 A04 A05 A06 A07 A08 A09,5,3,0.6317359719912999,0.48346958982945387,-0.14826638216184612,-0.17456140350877195,0.08528711052436493,-0.19742427793257813,-0.09282155843480588,10000,9,0,0.001953125,1.0,0.00390625,0.009765625,0.01953125
eog,train_projection,4,9,A01 A02 A03 A04 A05 A06 A07 A08 A09,5,3,0.6317359719912999,0.5333174163829824,-0.09841855560831762,-0.09824561403508772,0.0826957404886713,-0.14697811074798725,-0.04637536062578014,10000,7,2,0.009765625,0.994140625,0.01953125,0.009765625,0.05859375
eog,train_projection,6,9,A01 A02 A03 A04 A05 A06 A07 A08 A09,5,3,0.6317359719912999,0.5383536347015042,-0.0933823372897958,-0.08099415204678363,0.07010014151847414,-0.13511067662740375,-0.04921906854254194,10000,7,2,0.009765625,0.994140625,0.01953125,0.009765625,0.05859375
eog,train_projection,8,9,A01 A02 A03 A04 A05 A06 A07 A08 A09,5,3,0.6317359719912999,0.5431035698324695,-0.08863240215883042,-0.08815628815628813,0.07508632906792229,-0.1332683013170415,-0.0421742879991721,10000,7,2,0.009765625,0.994140625,0.01953125,0.009765625,0.05859375
eog,train_projection,16,9,A01 A02 A03 A04 A05 A06 A07 A08 A09,5,3,0.6317359719912999,0.5561613727075453,-0.07557459928375473,-0.08205128205128204,0.061432249896481,-0.11254664481268652,-0.03742953623862672,10000,7,2,0.009765625,0.994140625,0.01953125,0.009765625,0.05859375
