dataset,classifier,recipe,base,n_subjects,subjects,n_contamination_seed_pairs,n_checkpoint_seeds,n_classifier_seeds,raw_accuracy_subject_mean,noisy_accuracy_subject_mean,denoised_accuracy_subject_mean,mean_delta_accuracy,median_delta_accuracy,sd_delta_accuracy_across_subjects,bootstrap_ci95_low,bootstrap_ci95_high,n_bootstrap_subject_resamples,subjects_below_noisy_noisy,subjects_above_noisy_noisy,wilcoxon_p_denoised_lt_noisy,wilcoxon_p_denoised_gt_noisy,wilcoxon_p_two_sided,bh_fdr_q_denoised_lt_noisy,holm_p_denoised_lt_noisy
BCI_IV2b,csp_lda,emg,2,9,B01 B02 B03 B04 B05 B06 B07 B08 B09,5,3,0,0.7368055555555555,0.6813888888888889,0.6830092592592593,0.0016203703703703632,0.025416666666666643,0.08228967414371631,-0.0490300925925926,0.05124999999999999,10000,3,6,0.544921875,0.5,1.0,0.9078584558823529,1.0
BCI_IV2b,csp_lda,emg,4,9,B01 B02 B03 B04 B05 B06 B07 B08 B09,5,3,0,0.7368055555555555,0.6813888888888889,0.6897222222222222,0.008333333333333328,0.019166666666666644,0.07151601170755788,-0.035975694444444435,0.050416666666666665,10000,3,6,0.673828125,0.3671875,0.734375,0.9078584558823529,1.0
BCI_IV2b,csp_lda,emg,6,9,B01 B02 B03 B04 B05 B06 B07 B08 B09,5,3,0,0.7368055555555555,0.6813888888888889,0.6875462962962963,0.006157407407407398,0.012916666666666651,0.07571011560510439,-0.04051041666666668,0.05143518518518518,10000,4,5,0.6328125,0.41015625,0.8203125,0.9078584558823529,1.0
BCI_IV2b,csp_lda,emg,8,9,B01 B02 B03 B04 B05 B06 B07 B08 B09,5,3,0,0.7368055555555555,0.6813888888888889,0.6830092592592593,0.0016203703703703658,0.012916666666666651,0.07542628979938781,-0.04601967592592592,0.04657523148148147,10000,4,5,0.58984375,0.455078125,0.91015625,0.9078584558823529,1.0
BCI_IV2b,csp_lda,emg,16,9,B01 B02 B03 B04 B05 B06 B07 B08 B09,5,3,0,0.7368055555555555,0.6813888888888889,0.6868981481481482,0.005509259259259257,0.018749999999999992,0.07117374628677225,-0.03866319444444443,0.048010416666666646,10000,3,6,0.6796875,0.37109375,0.7421875,0.9078584558823529,1.0
BCI_IV2b,csp_lda,eog,2,9,B01 B02 B03 B04 B05 B06 B07 B08 B09,5,3,0,0.7368055555555555,0.6638888888888889,0.6804629629629629,0.01657407407407408,0.014166666666666668,0.045838909593445276,-0.012499999999999999,0.04310185185185186,10000,2,7,0.857421875,0.158203125,0.31640625,0.9078584558823529,1.0
BCI_IV2b,csp_lda,eog,4,9,B01 B02 B03 B04 B05 B06 B07 B08 B09,5,3,0,0.7368055555555555,0.6638888888888889,0.6911574074074074,0.027268518518518522,0.02333333333333333,0.08485898001506695,-0.022638888888888885,0.08273379629629625,10000,2,7,0.841796875,0.171875,0.34375,0.9078584558823529,1.0
BCI_IV2b,csp_lda,eog,6,9,B01 B02 B03 B04 B05 B06 B07 B08 B09,5,3,0,0.7368055555555555,0.6638888888888889,0.6834722222222223,0.019583333333333338,0.01958333333333333,0.06812149583240552,-0.02458564814814815,0.06129629629629629,10000,2,7,0.951171875,0.064453125,0.12890625,0.951171875,1.0
BCI_IV2b,csp_lda,eog,8,9,B01 B02 B03 B04 B05 B06 B07 B08 B09,5,3,0,0.7368055555555555,0.6638888888888889,0.6711574074074074,0.007268518518518529,0.026666666666666675,0.07377857000495001,-0.03972337962962963,0.05078703703703705,10000,2,7,0.8203125,0.212890625,0.42578125,0.9078584558823529,1.0
BCI_IV2b,csp_lda,eog,16,9,B01 B02 B03 B04 B05 B06 B07 B08 B09,5,3,0,0.7368055555555555,0.6638888888888889,0.6725925925925926,0.008703703703703712,0.019583333333333324,0.07017693550045176,-0.03629861111111111,0.04944444444444445,10000,2,7,0.787109375,0.248046875,0.49609375,0.9078584558823529,1.0
BCI_IV2b,csp_lda,eog_emg_line,2,9,B01 B02 B03 B04 B05 B06 B07 B08 B09,5,3,0,0.7368055555555555,0.6895833333333333,0.6810648148148148,-0.008518518518518517,0.017500000000000005,0.07578870914352596,-0.05703935185185184,0.03592592592592592,10000,3,6,0.51171875,0.51171875,1.0,0.9078584558823529,1.0
BCI_IV2b,csp_lda,eog_emg_line,4,9,B01 B02 B03 B04 B05 B06 B07 B08 B09,5,3,0,0.7368055555555555,0.6895833333333333,0.6943981481481482,0.004814814814814816,0.01291666666666668,0.05653711873409438,-0.03148148148148147,0.03902777777777778,10000,3,6,0.71484375,0.326171875,0.65234375,0.9078584558823529,1.0
BCI_IV2b,csp_lda,eog_emg_line,6,9,B01 B02 B03 B04 B05 B06 B07 B08 B09,5,3,0,0.7368055555555555,0.6895833333333333,0.6892592592592592,-0.00032407407407407694,0.0037500000000000016,0.06230482643106341,-0.04148379629629629,0.03574074074074073,10000,3,6,0.673828125,0.3671875,0.734375,0.9078584558823529,1.0
BCI_IV2b,csp_lda,eog_emg_line,8,9,B01 B02 B03 B04 B05 B06 B07 B08 B09,5,3,0,0.7368055555555555,0.6895833333333333,0.6811574074074074,-0.008425925925925925,0.013750000000000017,0.05702429191868287,-0.045327546296296296,0.02412037037037037,10000,4,5,0.5,0.544921875,1.0,0.9078584558823529,1.0
BCI_IV2b,csp_lda,eog_emg_line,16,9,B01 B02 B03 B04 B05 B06 B07 B08 B09,5,3,0,0.7368055555555555,0.6895833333333333,0.6779166666666666,-0.011666666666666665,0.004583333333333354,0.05888503983752296,-0.05148148148148148,0.02208333333333333,10000,4,5,0.455078125,0.58984375,0.91015625,0.9078584558823529,1.0
BCI_IV2b,eegnet,emg,6,9,B01 B02 B03 B04 B05 B06 B07 B08 B09,5,3,3,0.6770833333333334,0.643287037037037,0.6530555555555556,0.009768518518518511,0.048749999999999995,0.06822845101405849,-0.033919753086419764,0.049398148148148156,10000,3,6,0.71484375,0.326171875,0.65234375,0.9078584558823529,1.0
