run_id,condition,denoiser_label,model_family,base,n_subjects,n_rows,n_checkpoint_seeds,n_contamination_pairs,trainable_parameters_median,mean_delta_balanced_accuracy,median_delta_balanced_accuracy,subject_sd,ci95_low,ci95_high,subjects_below_reference,wilcoxon_p_less,mean_within_subject_checkpoint_sd,mean_within_subject_contamination_sd,bh_fdr_q
sleep_edf_formal_all_subjects_20260817_010000,denoised_denoised,DeepSeparator,DeepSeparator,16,75,1125,3,5,31413,-0.020341585466158038,-0.018073303796846293,0.02916956128088852,-0.027002728806792907,-0.01402249854010457,57,6.821347828017583e-08,0.015882515007335316,0.014791075628847211,7.222603582606853e-08
sleep_edf_formal_all_subjects_20260817_010000,denoised_denoised,EEGDN_CNN,EEGDN_CNN,16,75,1125,3,5,8455424,-0.06083447682741616,-0.05378066763386616,0.05342617493914102,-0.0732615513359459,-0.04938832148412364,72,1.2505086188665898e-13,0.009138563603503763,0.018714921989563815,2.2509155139598616e-12
sleep_edf_formal_all_subjects_20260817_010000,denoised_denoised,EEGDN_RNN,EEGDN_RNN,16,75,1125,3,5,787984,-0.03546175395015746,-0.04530027156888143,0.04902078280888694,-0.046276130099341346,-0.024321273773490595,62,3.7059775657198583e-08,0.0147613538361825,0.016611931481337223,4.169224761434841e-08
sleep_edf_formal_all_subjects_20260817_010000,denoised_denoised,MicroWaveNet,MicroWaveNet,16,75,1125,3,5,53500,-0.07193497832734443,-0.06870449212023957,0.05486450064591963,-0.08429868762110038,-0.05938125215686944,68,6.13270458941757e-13,0.019700061856669053,0.01709698532107712,5.519434130475813e-12
sleep_edf_formal_all_subjects_20260817_010000,denoised_denoised,base16,base_width,16,75,1875,5,5,40262,-0.04998294590957949,-0.04183884455808596,0.05675782139500421,-0.06291807342498412,-0.03780591120556268,62,2.395884075239117e-10,0.025227105303370148,0.016626103643375748,5.390739169288014e-10
sleep_edf_formal_all_subjects_20260817_010000,denoised_denoised,base2,base_width,2,75,1875,5,5,1048,-0.05669068515503312,-0.050472752300777815,0.05538135465713807,-0.06945500908468151,-0.04437951631657138,68,1.0348018448477489e-11,0.025894399790701607,0.016731291140588783,3.4594983464407644e-11
sleep_edf_formal_all_subjects_20260817_010000,denoised_denoised,base4,base_width,4,75,1875,5,5,3218,-0.06340561214616944,-0.05442511777278424,0.05991170308950193,-0.0769672887618251,-0.050291083156141426,66,9.682453131259174e-13,0.022325230966966834,0.016472904065268797,5.809471878755504e-12
sleep_edf_formal_all_subjects_20260817_010000,denoised_denoised,base6,base_width,6,75,1875,5,5,6532,-0.05355168135322843,-0.04480501573270036,0.05686521770229556,-0.06667186138689524,-0.04119134126074829,65,1.6515915203693218e-11,0.025470607374889796,0.01609900568046554,4.2469496238068276e-11
sleep_edf_formal_all_subjects_20260817_010000,denoised_denoised,base8,base_width,8,75,1875,5,5,10990,-0.05548365056995559,-0.048855501294415585,0.05854366115101045,-0.06879431294794247,-0.04263756713884644,64,1.1531661154802548e-11,0.02104978369273418,0.015685992976442083,3.4594983464407644e-11
sleep_edf_formal_all_subjects_20260817_010000,real_denoised_denoised,DeepSeparator,DeepSeparator,16,75,225,3,0,31413,-0.023482347440384268,-0.020247062803249876,0.04460011452149223,-0.03347340700624559,-0.013357430939968103,54,6.147192046830925e-06,0.024677754159644225,,6.147192046830925e-06
sleep_edf_formal_all_subjects_20260817_010000,real_denoised_denoised,EEGDN_CNN,EEGDN_CNN,16,75,225,3,0,8455424,-0.054384983284136254,-0.04552837401001434,0.08214745272854618,-0.07241230697738468,-0.03568709026296836,62,6.458483211246413e-09,0.012986320813904596,,9.68772481686962e-09
sleep_edf_formal_all_subjects_20260817_010000,real_denoised_denoised,EEGDN_RNN,EEGDN_RNN,16,75,225,3,0,787984,-0.04266975928556883,-0.05192980665737094,0.0716296399481213,-0.05796296501584217,-0.02567111274751996,63,1.2286663451538222e-08,0.02294568492446675,,1.5797138723406285e-08
sleep_edf_formal_all_subjects_20260817_010000,real_denoised_denoised,MicroWaveNet,MicroWaveNet,16,75,225,3,0,53500,-0.09537471996967313,-0.07096238574719749,0.09137378292503906,-0.11595810706600707,-0.07488462826898987,66,5.783636436851701e-12,0.023893923998302032,,2.6026363965832656e-11
sleep_edf_formal_all_subjects_20260817_010000,real_denoised_denoised,base16,base_width,16,75,375,5,0,40262,-0.07435133317224014,-0.06296336815051087,0.09427893209721504,-0.09610547822885832,-0.05289699884305645,64,4.17868535335193e-09,0.030936705850790242,,7.760600712886284e-09
sleep_edf_formal_all_subjects_20260817_010000,real_denoised_denoised,base2,base_width,2,75,375,5,0,1048,-0.07127315349316728,-0.06724139668327847,0.08972512362617374,-0.09173580511751825,-0.05139729877774402,59,7.306879538503179e-09,0.03511913591851189,,1.0117217822542863e-08
sleep_edf_formal_all_subjects_20260817_010000,real_denoised_denoised,base4,base_width,4,75,375,5,0,3218,-0.07719577997573282,-0.07148302927513847,0.09829526771724185,-0.09861710525740836,-0.05536702889752017,61,1.6126673476957553e-08,0.030495730400097846,,1.9352008172349066e-08
sleep_edf_formal_all_subjects_20260817_010000,real_denoised_denoised,base6,base_width,6,75,375,5,0,6532,-0.07443989258427729,-0.06803069904411677,0.091944010174451,-0.09499547631975955,-0.05406853859395513,60,5.885802271351247e-09,0.030529386022267402,,9.631312807665677e-09
sleep_edf_formal_all_subjects_20260817_010000,real_denoised_denoised,base8,base_width,8,75,375,5,0,10990,-0.07598508579050281,-0.05943470037587677,0.0932580832098185,-0.0968484645057306,-0.055494622049858396,61,4.31144484049238e-09,0.026595944248108905,,7.760600712886284e-09
